customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
550928,3,B,201601,51,10,16,20160129.0,20160104.0,20145.43,3729.89
550928,3,B,201602,94,13,14,20160229.0,20160201.0,33945.77,5943.32
550928,3,B,201603,91,13,17,20160331.0,20160302.0,54589.81,8591.61
550928,3,B,201604,73,10,15,20160429.0,20160401.0,26719.28,4424.56
550928,3,B,201605,78,15,17,20160527.0,20160502.0,44509.23,8906.23
550928,3,B,201606,67,12,17,20160630.0,20160606.0,32575.54,5864.03
550928,3,B,201607,74,10,14,20160729.0,20160705.0,30503.54,5136.08
550928,3,B,201608,33,9,16,20160830.0,20160801.0,22337.08,4783.89
550928,3,B,201609,57,11,16,20160929.0,20160901.0,31565.92,6672.21
550928,3,B,201610,51,6,12,20161031.0,20161003.0,25378.56,4106.63
550928,3,B,201611,30,10,15,20161130.0,20161101.0,14482.21,2951.72
550928,3,B,201612,81,10,13,20161230.0,20161201.0,49566.92,9306.59
550928,3,B,201701,20,9,9,20170131.0,20170105.0,9064.77,1976.9
550928,3,B,201702,36,10,13,20170227.0,20170201.0,11467.25,1164.15
550928,3,B,201703,50,7,15,20170331.0,20170301.0,34421.69,5705.36
550928,3,B,201704,29,8,11,20170427.0,20170407.0,14411.84,2494.24
550928,3,B,201705,24,5,12,20170530.0,20170504.0,9472.23,2164.93
550928,3,B,201706,46,7,16,20170630.0,20170601.0,15965.82,3201.42
550928,3,B,201707,81,11,14,20170731.0,20170705.0,42347.11,7713.29
550928,3,B,201708,85,13,18,20170830.0,20170801.0,53206.3,9851.36
550928,3,B,201709,29,5,11,20170929.0,20170905.0,26639.24,3580.53
550928,3,B,201710,55,11,18,20171031.0,20171002.0,17867.66,3424.21
550928,3,B,201711,30,10,17,20171130.0,20171101.0,15365.56,3627.87
550928,3,B,201712,84,8,14,20171229.0,20171201.0,34555.16,5633.89
550928,3,B,201801,45,7,17,20180131.0,20180102.0,22989.78,3952.13
550928,3,B,201802,42,7,12,20180223.0,20180201.0,15903.9,2477.71
550928,3,B,201803,106,11,17,20180330.0,20180301.0,49178.03,9131.74
550928,3,B,201804,35,9,13,20180430.0,20180404.0,19384.45,3281.16
550928,3,B,201805,63,10,17,20180530.0,20180502.0,24682.32,4816.73
550928,3,B,201806,49,10,15,20180629.0,20180604.0,15152.84,2620.44
550928,3,B,201807,103,10,15,20180731.0,20180702.0,46151.9,8521.6
550928,3,B,201808,56,9,19,20180831.0,20180801.0,31066.85,6302.42
550928,3,B,201809,41,8,11,20180928.0,20180905.0,18464.07,4389.55
550928,3,B,201810,82,11,17,20181031.0,20181001.0,35698.46,6701.17
550928,3,B,201811,33,9,15,20181129.0,20181102.0,13712.09,2825.16
550928,3,B,201812,26,7,9,20181228.0,20181205.0,18916.09,522.15
550928,3,B,201901,44,10,17,20190131.0,20190102.0,22869.05,3609.84
550928,3,B,201902,61,9,15,20190227.0,20190204.0,31007.98,5080.88
550928,3,B,201903,98,10,17,20190329.0,20190301.0,62238.18,11414.14
550928,3,B,201904,71,10,18,20190430.0,20190401.0,28275.32,4088.96
550928,3,B,201905,54,8,16,20190531.0,20190501.0,32954.31,6315.66
550928,3,B,201906,66,11,16,20190628.0,20190603.0,45511.17,7310.02
550928,3,B,201907,40,9,14,20190730.0,20190701.0,18519.74,3052.34
550928,3,B,201908,66,8,17,20190830.0,20190807.0,41795.79,7707.98
550928,3,B,201909,72,9,18,20190930.0,20190903.0,54870.74,10039.34
550928,3,B,201910,43,8,14,20191024.0,20191001.0,24500.0,3983.57
550928,3,B,201911,24,6,13,20191127.0,20191101.0,13366.08,2379.14
550928,3,B,201912,70,7,15,20191231.0,20191204.0,34748.35,6546.37
