customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
727813,5,B,201601,1,1,1,20160113.0,20160113.0,367.72,82.15
727813,5,B,201604,2,1,2,20160426.0,20160419.0,1835.96,786.72
727813,5,B,201605,5,1,4,20160527.0,20160523.0,5304.16,711.96
727813,5,B,201607,0,0,0,,,0.0,133.39
727813,5,B,201608,1,1,1,20160812.0,20160812.0,450.8,161.4
727813,5,B,201612,1,1,1,20161219.0,20161219.0,121.53,38.62
727813,5,B,201701,2,1,3,20170119.0,20170110.0,5190.09,1013.33
727813,5,B,201702,6,2,3,20170220.0,20170206.0,1753.27,289.35
727813,5,B,201703,3,2,3,20170328.0,20170301.0,13151.1,2621.14
727813,5,B,201704,8,4,5,20170428.0,20170417.0,3285.11,750.48
727813,5,B,201705,3,2,2,20170526.0,20170524.0,1368.24,146.04
727813,5,B,201706,1,1,1,20170627.0,20170627.0,1261.2,205.26
727813,5,B,201707,1,1,1,20170719.0,20170719.0,1219.15,173.9
727813,5,B,201708,8,3,5,20170831.0,20170809.0,4063.72,632.82
727813,5,B,201709,9,4,3,20170927.0,20170907.0,626.04,47.36
727813,5,B,201711,4,3,2,20171129.0,20171120.0,478.07,79.05
727813,5,B,201712,5,1,5,20171221.0,20171201.0,1317.62,324.74
727813,5,B,201801,3,3,3,20180122.0,20180104.0,7165.07,2310.0
727813,5,B,201802,7,1,6,20180216.0,20180202.0,3038.6,510.52
727813,5,B,201803,7,3,3,20180327.0,20180309.0,3120.76,556.91
727813,5,B,201804,6,4,4,20180426.0,20180405.0,1569.31,271.3
727813,5,B,201805,3,1,3,20180531.0,20180518.0,1661.0,318.84
727813,5,B,201806,5,2,3,20180628.0,20180612.0,3730.04,827.83
727813,5,B,201808,5,4,4,20180831.0,20180823.0,1552.6,276.29
727813,5,B,201809,7,4,5,20180926.0,20180912.0,9554.31,1569.16
727813,5,B,201810,6,3,6,20181023.0,20181003.0,1691.31,308.15
727813,5,B,201811,1,1,1,20181109.0,20181109.0,757.34,134.56
727813,5,B,201812,3,2,3,20181228.0,20181218.0,4579.08,750.45
727813,5,B,201901,3,3,3,20190131.0,20190104.0,1650.33,516.9
727813,5,B,201902,2,2,2,20190219.0,20190204.0,208.05,37.21
727813,5,B,201903,2,2,2,20190322.0,20190305.0,995.47,219.68
727813,5,B,201904,1,1,1,20190405.0,20190405.0,55.65,20.93
727813,5,B,201905,2,2,2,20190529.0,20190502.0,401.48,86.62
727813,5,B,201908,1,1,1,20190829.0,20190829.0,316.23,74.25
727813,5,B,201909,1,1,1,20190918.0,20190918.0,278.24,78.93
727813,5,B,201910,1,1,1,20191008.0,20191008.0,1583.08,344.27
