customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
645133,6,B,201601,15,9,9,20160127.0,20160107.0,12044.6,3251.04
645133,6,B,201602,3,2,3,20160208.0,20160201.0,6197.61,1309.09
645133,6,B,201603,4,4,3,20160308.0,20160302.0,1030.65,325.06
645133,6,B,201604,1,1,1,20160419.0,20160419.0,780.5,299.98
645133,6,B,201606,2,1,2,20160624.0,20160623.0,1113.57,228.57
645133,6,B,201608,2,2,2,20160831.0,20160817.0,6245.5,1956.52
645133,6,B,201609,3,3,3,20160920.0,20160913.0,3520.42,766.86
645133,6,B,201610,1,1,1,20161010.0,20161010.0,657.84,171.33
645133,6,B,201611,12,7,5,20161122.0,20161107.0,1709.9,658.52
645133,6,B,201612,0,0,0,,,133.06,56.8
645133,6,B,201701,1,1,1,20170130.0,20170130.0,189.95,40.95
645133,6,B,201702,1,1,1,20170223.0,20170223.0,181.92,28.17
645133,6,B,201703,2,2,2,20170327.0,20170303.0,378.52,95.56
645133,6,B,201704,0,0,0,,,-117.9,-40.66
645133,6,B,201707,5,3,4,20170725.0,20170713.0,-766.62,-418.87
645133,6,B,201708,1,1,1,20170830.0,20170830.0,690.76,146.96
645133,6,B,201709,1,1,1,20170913.0,20170913.0,154.0,30.8
645133,6,B,201711,2,2,4,20171128.0,20171101.0,11046.88,2198.1
645133,6,B,201712,3,3,4,20171215.0,20171204.0,4991.84,1069.93
645133,6,B,201801,4,3,3,20180129.0,20180108.0,4702.76,951.82
645133,6,B,201802,9,5,4,20180216.0,20180206.0,7813.24,1671.27
645133,6,B,201803,1,1,1,20180306.0,20180306.0,-2513.8,-801.71
645133,6,B,201804,2,2,2,20180410.0,20180404.0,1109.04,214.69
645133,6,B,201807,1,1,1,20180711.0,20180711.0,6.58,2.94
645133,6,B,201808,2,2,3,20180830.0,20180808.0,5978.0,1195.6
645133,6,B,201809,1,1,1,20180912.0,20180912.0,336.26,61.94
645133,6,B,201810,4,2,3,20181031.0,20181001.0,3364.64,690.2
645133,6,B,201811,10,6,3,20181121.0,20181106.0,1080.06,299.99
645133,6,B,201812,4,3,3,20181214.0,20181205.0,2029.51,531.37
645133,6,B,201901,2,1,1,20190131.0,20190131.0,29.03,16.54
645133,6,B,201903,1,1,1,20190329.0,20190329.0,148.21,48.21
645133,6,B,201904,6,3,3,20190417.0,20190401.0,2193.9,636.52
645133,6,B,201905,3,1,2,20190516.0,20190502.0,46.84,20.89
645133,6,B,201906,0,0,0,,,-380.0,-80.0
645133,6,B,201907,3,3,3,20190729.0,20190702.0,467.55,137.56
645133,6,B,201908,2,2,1,20190826.0,20190826.0,49.74,13.66
645133,6,B,201909,2,2,1,20190906.0,20190906.0,174.56,55.66
645133,6,B,201911,2,2,1,20191115.0,20191115.0,-2141.03,-291.88
