customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
928902,2,B,201601,2,2,2,20160114.0,20160113.0,3550.81,968.19
928902,2,B,201602,3,3,3,20160225.0,20160209.0,3029.95,531.37
928902,2,B,201603,7,3,4,20160311.0,20160302.0,12911.53,2390.57
928902,2,B,201604,2,2,2,20160419.0,20160412.0,1291.17,384.39
928902,2,B,201606,1,1,1,20160621.0,20160621.0,601.0,192.12
928902,2,B,201607,0,0,0,,,-374.79,-374.79
928902,2,B,201608,2,2,2,20160831.0,20160811.0,3048.5,1594.22
928902,2,B,201609,2,2,2,20160919.0,20160914.0,517.0,103.6
928902,2,B,201610,2,1,1,20161014.0,20161014.0,4778.0,956.37
928902,2,B,201611,1,1,1,20161109.0,20161109.0,1650.0,330.0
928902,2,B,201612,5,3,2,20161227.0,20161222.0,1124.18,370.84
928902,2,B,201701,2,2,2,20170126.0,20170124.0,276.0,85.89
928902,2,B,201702,1,1,1,20170228.0,20170228.0,377.47,17.47
928902,2,B,201703,4,1,3,20170331.0,20170308.0,12948.85,930.41
928902,2,B,201704,6,4,3,20170421.0,20170407.0,38373.14,2873.14
928902,2,B,201705,43,4,5,20170531.0,20170501.0,49459.34,3059.95
928902,2,B,201706,5,2,3,20170622.0,20170605.0,837.56,-2765.99
928902,2,B,201707,3,3,2,20170726.0,20170720.0,1245.39,3163.93
928902,2,B,201708,3,3,3,20170828.0,20170824.0,252.98,-777.31
928902,2,B,201709,2,2,1,20170918.0,20170918.0,1383.53,3507.32
928902,2,B,201712,3,3,6,20171227.0,20171204.0,5479.25,897.77
928902,2,B,201801,6,4,4,20180129.0,20180117.0,297.52,48.76
928902,2,B,201802,37,16,13,20180227.0,20180207.0,15124.53,2639.41
928902,2,B,201803,15,11,11,20180330.0,20180301.0,6918.98,1298.12
928902,2,B,201804,16,11,8,20180426.0,20180405.0,16057.52,3230.96
928902,2,B,201805,9,8,5,20180531.0,20180507.0,4616.84,991.07
928902,2,B,201806,15,7,7,20180627.0,20180601.0,3684.44,563.68
928902,2,B,201807,3,3,3,20180710.0,20180702.0,1617.64,340.35
928902,2,B,201808,4,4,6,20180831.0,20180802.0,2580.98,352.17
928902,2,B,201809,4,4,6,20180927.0,20180912.0,3173.22,530.82
928902,2,B,201811,3,3,2,20181127.0,20181121.0,610.76,127.79
928902,2,B,201812,2,2,2,20181227.0,20181205.0,4308.4,686.64
928902,2,B,201901,2,2,2,20190129.0,20190124.0,916.71,128.87
928902,2,B,201902,2,2,3,20190226.0,20190213.0,5381.74,1064.85
928902,2,B,201903,4,4,3,20190329.0,20190312.0,5378.13,874.01
928902,2,B,201904,3,2,1,20190402.0,20190402.0,142.91,80.09
928902,2,B,201905,4,3,6,20190529.0,20190509.0,3843.25,630.33
928902,2,B,201906,8,6,10,20190626.0,20190605.0,14687.49,2337.12
928902,2,B,201907,0,0,0,,,0.0,24.0
928902,2,B,201908,3,3,3,20190816.0,20190801.0,1351.97,283.83
