customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
551236,9,B,201601,13,7,4,20160126.0,20160104.0,664.03,177.34
551236,9,B,201602,5,4,1,20160219.0,20160219.0,2275.98,869.42
551236,9,B,201603,5,4,3,20160328.0,20160315.0,1252.37,301.9
551236,9,B,201604,10,5,4,20160421.0,20160401.0,2523.6,823.12
551236,9,B,201605,8,7,4,20160527.0,20160510.0,27469.08,7665.22
551236,9,B,201606,23,9,6,20160624.0,20160603.0,9788.11,2980.7
551236,9,B,201607,10,8,2,20160720.0,20160701.0,3328.27,1155.26
551236,9,B,201608,12,7,8,20160823.0,20160803.0,7679.85,2787.5
551236,9,B,201609,19,9,5,20160928.0,20160906.0,4658.68,802.3
551236,9,B,201610,29,10,7,20161027.0,20161005.0,8854.19,2876.73
551236,9,B,201611,2,2,2,20161129.0,20161103.0,3982.85,1440.85
551236,9,B,201612,10,5,2,20161216.0,20161206.0,6516.12,1562.02
551236,9,B,201701,23,6,5,20170131.0,20170106.0,6947.41,2030.25
551236,9,B,201702,14,6,4,20170221.0,20170201.0,6091.22,1029.07
551236,9,B,201703,19,9,7,20170330.0,20170303.0,4787.11,1460.53
551236,9,B,201704,13,6,4,20170428.0,20170405.0,4156.31,1659.36
551236,9,B,201705,13,4,5,20170524.0,20170511.0,5725.6,1107.69
551236,9,B,201706,23,9,5,20170630.0,20170607.0,5922.44,1292.92
551236,9,B,201707,3,3,3,20170720.0,20170711.0,6222.02,1732.26
551236,9,B,201708,23,11,9,20170823.0,20170801.0,13100.82,3396.54
551236,9,B,201709,14,3,3,20170918.0,20170912.0,2761.29,865.37
551236,9,B,201710,15,6,3,20171016.0,20171002.0,3316.73,505.39
551236,9,B,201711,2,2,2,20171113.0,20171103.0,2151.41,726.91
551236,9,B,201712,18,5,2,20171219.0,20171207.0,2435.65,844.67
551236,9,B,201801,11,6,4,20180118.0,20180105.0,2665.66,652.72
551236,9,B,201802,1,1,1,20180202.0,20180202.0,487.14,231.36
551236,9,B,201803,12,5,3,20180330.0,20180313.0,12499.99,2599.31
551236,9,B,201804,15,8,6,20180427.0,20180410.0,5674.27,962.59
551236,9,B,201805,9,6,4,20180522.0,20180509.0,9205.52,1360.41
551236,9,B,201806,4,4,2,20180613.0,20180611.0,2472.09,3929.26
551236,9,B,201807,16,7,5,20180723.0,20180716.0,8340.96,2133.41
551236,9,B,201808,11,6,2,20180831.0,20180810.0,8695.86,2883.44
551236,9,B,201809,6,3,3,20180924.0,20180911.0,7114.69,3777.66
551236,9,B,201810,6,2,2,20181009.0,20181003.0,903.41,302.57
551236,9,B,201811,1,1,1,20181127.0,20181127.0,5480.62,1896.79
551236,9,B,201812,13,7,4,20181221.0,20181203.0,5952.87,2033.19
551236,9,B,201901,7,4,4,20190123.0,20190108.0,-2293.58,-2616.81
551236,9,B,201902,11,7,3,20190213.0,20190204.0,810.03,283.75
551236,9,B,201903,10,3,2,20190318.0,20190314.0,803.62,244.27
551236,9,B,201904,5,4,3,20190425.0,20190416.0,1399.56,363.13
551236,9,B,201905,11,7,2,20190521.0,20190517.0,5807.4,1287.86
551236,9,B,201906,9,5,4,20190627.0,20190614.0,645.2,279.7
551236,9,B,201908,4,3,1,20190820.0,20190820.0,241.8,92.02
