customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
730251,6,A,201601,11,8,5,20160128.0,20160104.0,281.0,-430.27
730251,6,A,201602,28,7,6,20160216.0,20160208.0,3379.08,1602.07
730251,6,A,201603,50,14,8,20160329.0,20160301.0,9095.5,1911.7
730251,6,A,201604,44,11,9,20160429.0,20160404.0,2277.59,586.01
730251,6,A,201605,34,15,9,20160527.0,20160503.0,31574.44,5250.07
730251,6,A,201606,18,13,5,20160627.0,20160615.0,2915.63,112.79
730251,6,A,201607,11,8,5,20160720.0,20160708.0,1507.43,531.45
730251,6,A,201608,4,4,4,20160825.0,20160803.0,271.46,-2556.86
730251,6,A,201609,24,11,8,20160930.0,20160909.0,685.83,243.2
730251,6,A,201610,15,8,5,20161019.0,20161007.0,730.58,218.52
730251,6,A,201612,9,6,2,20161229.0,20161208.0,1398.49,276.01
730251,6,A,201701,0,0,0,,,0.0,-2028.47
730251,6,A,201702,1,1,1,20170221.0,20170221.0,-121.33,-43.0
730251,6,A,201703,2,1,1,20170315.0,20170315.0,20.27,6.58
730251,6,A,201704,11,7,3,20170428.0,20170410.0,3548.43,1090.73
730251,6,A,201705,16,8,4,20170531.0,20170501.0,2647.75,540.8
730251,6,A,201706,22,7,7,20170629.0,20170601.0,9807.74,3573.85
730251,6,A,201707,5,4,4,20170725.0,20170717.0,2982.88,1304.42
730251,6,A,201708,21,10,5,20170831.0,20170814.0,3383.39,245.7
730251,6,A,201709,58,15,7,20170929.0,20170901.0,10850.95,919.46
730251,6,A,201710,1,1,1,20171017.0,20171017.0,2097.47,2319.89
730251,6,A,201711,0,0,0,,,-510.35,-510.35
730251,6,A,201712,0,0,0,,,0.0,0.0
730251,6,A,201806,0,0,0,,,0.0,-189.3
