customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
678152,2,B,201605,4,4,3,20160531.0,20160511.0,47649.43,-322.77
678152,2,B,201606,2,2,4,20160627.0,20160603.0,10488.98,1051.98
678152,2,B,201607,3,3,2,20160726.0,20160705.0,5630.04,1430.04
678152,2,B,201608,5,4,2,20160830.0,20160809.0,35966.23,4539.1
678152,2,B,201609,2,2,1,20160916.0,20160916.0,20169.82,962.92
678152,2,B,201610,10,10,5,20161026.0,20161006.0,120709.9,8298.42
678152,2,B,201611,14,14,12,20161130.0,20161101.0,154998.3,11769.6
678152,2,B,201612,9,8,4,20161229.0,20161206.0,9331.59,1092.71
678152,2,B,201701,15,14,5,20170127.0,20170105.0,92922.97,7446.91
678152,2,B,201702,4,4,3,20170217.0,20170203.0,13253.1,1296.18
678152,2,B,201703,11,8,5,20170329.0,20170301.0,9339.92,1051.7
678152,2,B,201704,15,12,6,20170428.0,20170405.0,27173.73,4185.81
678152,2,B,201705,4,4,4,20170522.0,20170502.0,2451.58,405.88
678152,2,B,201706,8,8,7,20170628.0,20170605.0,2033.92,299.97
678152,2,B,201707,5,5,4,20170717.0,20170703.0,2283.97,-871.74
678152,2,B,201708,2,2,2,20170830.0,20170816.0,0.07,145.33
678152,2,B,201710,1,1,1,20171019.0,20171019.0,9735.0,932.37
678152,2,B,201712,1,1,1,20171212.0,20171212.0,791.11,126.72
678152,2,B,201802,0,0,0,,,0.0,0.0
678152,2,B,201803,4,1,1,20180320.0,20180320.0,1173.81,110.09
678152,2,B,201906,1,1,1,20190619.0,20190619.0,870.53,56.93
678152,2,B,201907,1,1,2,20190730.0,20190729.0,76342.76,4992.78
678152,2,B,201908,1,1,1,20190802.0,20190802.0,2753.9,180.1
678152,2,B,201909,2,1,1,20190905.0,20190905.0,283.57,93.1
678152,2,B,201911,1,1,1,20191122.0,20191122.0,123.44,25.19
