customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
611649,3,B,201601,1,1,3,20160127.0,20160121.0,2476.0,732.11
611649,3,B,201602,1,1,2,20160226.0,20160204.0,1302.0,338.73
611649,3,B,201603,1,1,1,20160308.0,20160308.0,3720.0,1050.0
611649,3,B,201604,1,1,3,20160422.0,20160406.0,2390.72,674.8
611649,3,B,201605,1,1,1,20160520.0,20160520.0,-658.72,-155.48
611649,3,B,201606,2,2,3,20160629.0,20160607.0,24358.0,6170.65
611649,3,B,201607,4,3,3,20160722.0,20160708.0,6102.3,1823.64
611649,3,B,201608,7,4,7,20160831.0,20160804.0,9660.72,2958.29
611649,3,B,201609,2,2,3,20160929.0,20160912.0,16816.3,4391.04
611649,3,B,201610,2,2,2,20161025.0,20161018.0,3184.28,755.84
611649,3,B,201611,3,3,2,20161122.0,20161117.0,163.97,32.33
611649,3,B,201612,3,3,2,20161221.0,20161202.0,3155.01,863.0
611649,3,B,201701,1,1,1,20170120.0,20170120.0,176.07,13.96
611649,3,B,201702,3,3,6,20170228.0,20170203.0,14640.34,4278.96
611649,3,B,201703,3,3,5,20170323.0,20170310.0,1401.35,496.04
611649,3,B,201704,2,2,2,20170428.0,20170427.0,5837.44,1383.39
611649,3,B,201705,4,3,5,20170530.0,20170501.0,926.99,280.49
611649,3,B,201706,2,2,3,20170619.0,20170612.0,7826.86,2464.34
611649,3,B,201707,3,2,4,20170727.0,20170705.0,222.72,74.37
611649,3,B,201708,2,2,2,20170828.0,20170814.0,6633.34,2123.34
611649,3,B,201710,5,2,3,20171030.0,20171013.0,6675.66,2153.58
611649,3,B,201711,2,2,3,20171108.0,20171102.0,5454.22,1790.0
611649,3,B,201712,2,2,3,20171222.0,20171211.0,2965.17,1255.61
611649,3,B,201801,1,1,2,20180129.0,20180125.0,3930.0,1260.0
611649,3,B,201803,3,3,3,20180323.0,20180319.0,4225.38,1367.35
611649,3,B,201804,6,4,5,20180425.0,20180412.0,5025.89,1669.96
611649,3,B,201805,4,3,3,20180529.0,20180504.0,4233.1,1373.05
611649,3,B,201806,2,1,1,20180615.0,20180615.0,47.21,20.09
611649,3,B,201807,2,2,3,20180726.0,20180705.0,7330.0,2277.06
611649,3,B,201808,1,1,1,20180802.0,20180802.0,18.88,10.78
611649,3,B,201809,3,2,3,20180921.0,20180911.0,7009.56,2273.56
611649,3,B,201810,1,1,2,20181009.0,20181005.0,3930.0,1259.99
611649,3,B,201901,2,2,2,20190115.0,20190114.0,2347.95,873.23
611649,3,B,201902,1,1,1,20190227.0,20190227.0,175.84,76.79
611649,3,B,201903,4,3,5,20190326.0,20190301.0,7167.9,2424.02
611649,3,B,201904,3,3,4,20190415.0,20190408.0,3837.4,1300.12
611649,3,B,201906,2,1,2,20190620.0,20190617.0,135.51,52.55
611649,3,B,201907,1,1,1,20190725.0,20190725.0,233.1,115.92
611649,3,B,201908,3,3,3,20190826.0,20190808.0,3523.94,1117.71
611649,3,B,201909,2,2,2,20190923.0,20190906.0,115.08,72.7
611649,3,B,201910,1,1,1,20191025.0,20191025.0,2072.5,621.5
611649,3,B,201911,1,1,1,20191106.0,20191106.0,85.17,62.18
