customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
688350,5,B,201601,12,6,3,20160127.0,20160121.0,77.12,13.25
688350,5,B,201602,8,5,1,20160223.0,20160223.0,145.46,25.71
688350,5,B,201603,3,2,1,20160323.0,20160323.0,56.62,8.5
688350,5,B,201604,4,2,1,20160414.0,20160414.0,172.02,30.42
688350,5,B,201605,3,1,1,20160503.0,20160503.0,87.06,15.8
688350,5,B,201606,11,10,2,20160620.0,20160613.0,393.46,71.69
688350,5,B,201607,3,2,2,20160713.0,20160701.0,212.88,38.81
688350,5,B,201608,8,6,3,20160823.0,20160810.0,240.04,42.53
688350,5,B,201609,2,2,2,20160921.0,20160913.0,1053.34,190.34
688350,5,B,201610,17,11,3,20161021.0,20161006.0,1769.21,288.27
688350,5,B,201611,6,3,3,20161123.0,20161109.0,2205.11,254.02
688350,5,B,201612,19,8,6,20161216.0,20161202.0,1665.59,224.48
688350,5,B,201701,18,9,6,20170130.0,20170111.0,500.65,25.74
688350,5,B,201702,11,6,4,20170228.0,20170208.0,2606.1,326.6
688350,5,B,201703,4,2,2,20170328.0,20170327.0,404.81,24.0
688350,5,B,201704,9,6,2,20170418.0,20170410.0,193.87,34.83
688350,5,B,201705,37,13,7,20170530.0,20170518.0,2202.7,382.56
688350,5,B,201706,1,1,2,20170616.0,20170614.0,9.56,-13.92
688350,5,B,201707,6,2,1,20170717.0,20170717.0,143.42,-9.66
688350,5,B,201708,14,7,4,20170816.0,20170801.0,997.36,36.41
688350,5,B,201709,19,7,7,20170927.0,20170913.0,1918.69,197.92
688350,5,B,201710,25,12,9,20171031.0,20171011.0,4236.58,772.59
688350,5,B,201711,5,3,3,20171127.0,20171115.0,1159.82,256.12
688350,5,B,201712,1,1,1,20171205.0,20171205.0,1528.81,257.23
688350,5,B,201801,45,14,8,20180131.0,20180109.0,6845.95,1145.46
688350,5,B,201802,35,12,7,20180228.0,20180201.0,2090.75,449.5
688350,5,B,201803,24,10,6,20180329.0,20180308.0,46088.98,11214.5
688350,5,B,201804,24,11,8,20180426.0,20180405.0,3556.41,705.66
688350,5,B,201805,18,7,6,20180524.0,20180508.0,1801.61,409.06
688350,5,B,201806,25,12,6,20180627.0,20180611.0,1635.36,173.68
688350,5,B,201807,7,4,3,20180731.0,20180712.0,1352.95,242.18
688350,5,B,201808,20,10,9,20180828.0,20180801.0,3995.27,825.43
688350,5,B,201809,4,3,4,20180928.0,20180912.0,1270.46,254.29
688350,5,B,201810,16,7,2,20181019.0,20181008.0,1493.78,290.32
688350,5,B,201811,18,8,5,20181129.0,20181101.0,2200.5,387.74
688350,5,B,201812,6,4,3,20181228.0,20181217.0,936.84,202.49
688350,5,B,201901,8,5,6,20190123.0,20190109.0,47182.67,4775.89
688350,5,B,201902,5,3,2,20190228.0,20190218.0,1601.64,285.57
688350,5,B,201903,6,3,3,20190327.0,20190313.0,691.13,173.62
688350,5,B,201904,9,6,6,20190430.0,20190408.0,2241.16,478.27
688350,5,B,201905,18,6,10,20190531.0,20190503.0,8037.42,1587.34
688350,5,B,201906,2,1,1,20190613.0,20190613.0,903.6,203.61
688350,5,B,201907,10,8,4,20190726.0,20190717.0,1316.71,268.0
688350,5,B,201908,31,18,11,20190830.0,20190805.0,7565.28,797.9
688350,5,B,201909,8,4,7,20190930.0,20190906.0,4397.12,1797.79
688350,5,B,201910,12,8,5,20191022.0,20191008.0,1751.73,392.79
688350,5,B,201911,8,3,2,20191126.0,20191125.0,8792.45,1476.79
688350,5,B,201912,6,4,4,20191231.0,20191210.0,7082.35,1288.3
