customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
460929,1,A,201601,6,4,1,20160106.0,20160106.0,1577.16,348.36
460929,1,A,201602,1,1,1,20160208.0,20160208.0,465.72,93.11
460929,1,A,201603,1,1,1,20160314.0,20160314.0,11495.5,1515.84
460929,1,A,201606,2,2,1,20160609.0,20160609.0,1345.2,436.04
460929,1,A,201607,1,1,1,20160721.0,20160721.0,13.69,5.08
460929,1,A,201608,0,0,0,,,545.21,157.84
460929,1,A,201609,0,0,0,,,45.45,17.61
460929,1,A,201610,2,2,2,20161021.0,20161017.0,6053.43,635.78
460929,1,A,201611,5,5,4,20161129.0,20161115.0,-183.36,704.75
460929,1,A,201612,9,5,6,20161227.0,20161201.0,489208.4,30750.71
460929,1,A,201701,2,2,3,20170123.0,20170103.0,19767.51,1153.76
460929,1,A,201702,5,4,3,20170228.0,20170206.0,7665.38,529.14
460929,1,A,201703,4,3,2,20170327.0,20170315.0,524.61,36.39
460929,1,A,201704,2,2,2,20170426.0,20170404.0,175424.5,10055.1
460929,1,A,201705,2,2,2,20170531.0,20170523.0,25589.69,1555.84
460929,1,A,201706,7,7,6,20170630.0,20170612.0,157538.4,12910.45
460929,1,A,201707,0,0,0,,,74000.19,4560.66
460929,1,A,201708,7,4,5,20170828.0,20170801.0,557.05,113.86
460929,1,A,201709,3,2,3,20170913.0,20170907.0,37499.94,6287.96
460929,1,A,201710,0,0,0,,,57664.53,3472.46
460929,1,A,201711,3,3,3,20171130.0,20171114.0,7096.85,753.39
460929,1,A,201712,9,9,11,20171229.0,20171204.0,375798.9,42473.08
460929,1,A,201801,9,8,11,20180129.0,20180104.0,208425.5,19316.43
460929,1,A,201802,7,6,6,20180228.0,20180202.0,83180.36,3830.1
460929,1,A,201803,6,4,8,20180330.0,20180301.0,103423.9,4692.59
460929,1,A,201804,16,5,13,20180430.0,20180402.0,130105.8,-2941.17
460929,1,A,201805,10,8,10,20180529.0,20180504.0,203238.5,9922.64
460929,1,A,201806,7,6,8,20180627.0,20180604.0,278682.8,10790.19
460929,1,A,201807,7,7,7,20180731.0,20180705.0,36503.21,3391.56
460929,1,A,201808,14,7,7,20180829.0,20180806.0,19064.23,2041.29
460929,1,A,201809,11,9,5,20180928.0,20180905.0,9914.0,1774.72
460929,1,A,201810,3,3,5,20181029.0,20181002.0,179509.9,10471.86
460929,1,A,201811,3,3,2,20181126.0,20181112.0,-30512.75,-5700.01
460929,1,A,201812,4,2,2,20181217.0,20181207.0,10879.45,2106.66
460929,1,A,201901,4,4,2,20190123.0,20190117.0,7709.38,1408.13
460929,1,A,201902,3,3,5,20190226.0,20190201.0,71360.14,4860.98
460929,1,A,201903,15,13,8,20190331.0,20190301.0,95090.58,7938.47
460929,1,A,201904,7,6,7,20190430.0,20190404.0,59586.46,4833.46
460929,1,A,201905,6,6,6,20190523.0,20190503.0,55949.54,4150.02
460929,1,A,201906,10,10,12,20190630.0,20190604.0,479713.6,41066.51
460929,1,A,201907,11,10,12,20190730.0,20190701.0,243561.7,17167.82
460929,1,A,201908,9,7,14,20190831.0,20190801.0,190993.1,14500.67
460929,1,A,201909,17,11,10,20190927.0,20190904.0,238902.7,26645.11
460929,1,A,201910,10,9,14,20191029.0,20191001.0,322751.8,24338.3
460929,1,A,201911,6,5,6,20191130.0,20191107.0,61752.1,5042.48
460929,1,A,201912,7,7,14,20191231.0,20191202.0,307650.4,21086.73
