customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
372211,8,B,201602,3,3,2,20160216.0,20160208.0,118.95,46.81
372211,8,B,201603,8,5,3,20160329.0,20160316.0,1003.46,355.66
372211,8,B,201604,9,4,2,20160425.0,20160418.0,308.03,121.69
372211,8,B,201605,9,6,3,20160520.0,20160502.0,1475.73,594.04
372211,8,B,201607,10,2,1,20160722.0,20160722.0,40.25,14.31
372211,8,B,201608,12,8,4,20160831.0,20160816.0,1119.39,413.1
372211,8,B,201609,2,2,1,20160928.0,20160928.0,311.06,-291.76
372211,8,B,201610,4,2,2,20161026.0,20161025.0,1317.51,443.37
372211,8,B,201611,13,6,4,20161116.0,20161108.0,800.72,-36.26
372211,8,B,201612,13,8,4,20161222.0,20161201.0,7879.17,3871.12
372211,8,B,201701,15,8,4,20170131.0,20170106.0,1775.43,144.6
372211,8,B,201702,1,1,1,20170228.0,20170228.0,221.09,-312.55
372211,8,B,201703,2,1,1,20170310.0,20170310.0,187.18,61.76
372211,8,B,201704,2,2,3,20170428.0,20170412.0,28691.56,4063.08
372211,8,B,201705,8,6,5,20170531.0,20170501.0,20096.25,-86.23
372211,8,B,201706,3,1,1,20170613.0,20170613.0,7685.31,4837.28
372211,8,B,201707,9,5,3,20170713.0,20170706.0,579.55,49.49
372211,8,B,201708,2,2,1,20170823.0,20170823.0,390.41,1276.28
372211,8,B,201709,3,2,3,20170928.0,20170918.0,434.74,137.71
372211,8,B,201710,6,5,2,20171030.0,20171025.0,408.16,144.17
372211,8,B,201711,5,4,2,20171127.0,20171114.0,458.75,157.66
372211,8,B,201712,4,3,1,20171218.0,20171218.0,124.32,42.41
372211,8,B,201801,8,5,2,20180130.0,20180112.0,1251.6,-686.71
372211,8,B,201802,6,5,3,20180228.0,20180223.0,526.5,175.72
372211,8,B,201803,4,3,2,20180322.0,20180319.0,400.63,154.03
372211,8,B,201804,5,4,1,20180424.0,20180424.0,756.26,249.72
372211,8,B,201805,3,1,1,20180518.0,20180518.0,382.54,146.92
372211,8,B,201806,2,2,2,20180621.0,20180611.0,206.94,70.78
372211,8,B,201807,5,3,3,20180711.0,20180709.0,471.46,169.56
372211,8,B,201808,4,2,1,20180802.0,20180802.0,350.02,159.15
372211,8,B,201809,3,3,2,20180919.0,20180914.0,220.02,79.71
372211,8,B,201810,9,4,4,20181031.0,20181023.0,435.84,173.1
372211,8,B,201811,1,1,1,20181119.0,20181119.0,103.12,35.02
372211,8,B,201812,1,1,1,20181210.0,20181210.0,212.54,55.32
372211,8,B,201901,5,2,2,20190110.0,20190108.0,771.85,216.51
372211,8,B,201902,5,4,3,20190214.0,20190207.0,814.2,295.05
372211,8,B,201903,3,3,1,20190311.0,20190311.0,644.23,176.01
372211,8,B,201904,5,3,1,20190408.0,20190408.0,447.04,164.76
372211,8,B,201905,13,4,3,20190523.0,20190501.0,891.61,322.65
372211,8,B,201906,2,2,1,20190611.0,20190611.0,352.61,103.65
372211,8,B,201907,0,0,0,,,0.0,-12.0
372211,8,B,201908,2,2,1,20190821.0,20190821.0,340.16,120.8
372211,8,B,201909,5,3,2,20190923.0,20190912.0,659.57,216.99
372211,8,B,201910,13,5,3,20191029.0,20191002.0,948.56,347.75
372211,8,B,201911,6,4,2,20191112.0,20191106.0,1519.67,574.67
372211,8,B,201912,2,2,2,20191213.0,20191203.0,282.72,108.12
