customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
877706,7,C,201601,17,8,9,20160129.0,20160111.0,13453.45,3134.72
877706,7,C,201602,14,7,12,20160229.0,20160201.0,23058.33,1893.68
877706,7,C,201603,20,7,10,20160330.0,20160302.0,17033.52,2953.44
877706,7,C,201604,5,3,6,20160428.0,20160404.0,7604.04,1279.66
877706,7,C,201605,1,1,1,20160520.0,20160520.0,960.85,62.32
877706,7,C,201606,13,3,5,20160620.0,20160601.0,1930.08,511.73
877706,7,C,201607,6,2,2,20160729.0,20160712.0,402.3,127.87
877706,7,C,201608,11,8,7,20160830.0,20160810.0,5384.19,1469.15
877706,7,C,201609,16,4,5,20160929.0,20160907.0,3257.57,870.85
877706,7,C,201610,5,2,4,20161026.0,20161005.0,2061.02,403.88
877706,7,C,201611,4,2,5,20161129.0,20161108.0,7524.55,1979.53
877706,7,C,201612,7,4,4,20161230.0,20161207.0,1687.44,472.84
877706,7,C,201701,8,2,2,20170125.0,20170113.0,7549.64,1434.22
877706,7,C,201702,8,6,6,20170222.0,20170207.0,10335.96,2093.26
877706,7,C,201703,12,6,13,20170331.0,20170301.0,32254.06,2936.61
877706,7,C,201704,30,16,12,20170426.0,20170403.0,17673.34,2708.65
877706,7,C,201705,19,12,13,20170531.0,20170501.0,8997.29,1300.4
877706,7,C,201706,36,16,10,20170630.0,20170605.0,58725.98,5194.38
877706,7,C,201707,22,4,6,20170731.0,20170707.0,39370.85,3249.7
877706,7,C,201708,17,6,9,20170831.0,20170808.0,13887.79,2415.61
877706,7,C,201709,42,9,11,20170929.0,20170901.0,8512.59,854.33
877706,7,C,201710,33,8,12,20171031.0,20171002.0,21036.9,3372.28
877706,7,C,201711,43,13,17,20171130.0,20171101.0,46229.06,3351.1
877706,7,C,201712,61,10,14,20171227.0,20171204.0,69869.54,8106.39
877706,7,C,201801,58,19,13,20180131.0,20180105.0,79614.26,7321.93
877706,7,C,201802,49,20,11,20180227.0,20180202.0,10251.11,2749.93
877706,7,C,201803,38,15,13,20180329.0,20180301.0,37835.93,3749.23
877706,7,C,201804,99,21,11,20180430.0,20180406.0,62251.54,5415.83
877706,7,C,201805,27,12,16,20180531.0,20180501.0,139364.5,11200.33
877706,7,C,201806,19,10,7,20180625.0,20180601.0,45128.22,3984.16
877706,7,C,201807,24,14,9,20180730.0,20180702.0,28597.17,2675.05
877706,7,C,201808,45,20,21,20180831.0,20180801.0,93816.71,8771.05
877706,7,C,201809,15,10,9,20180925.0,20180904.0,7368.48,3292.34
877706,7,C,201810,14,7,8,20181026.0,20181003.0,4450.14,526.68
877706,7,C,201811,16,12,11,20181130.0,20181105.0,16538.76,3562.47
877706,7,C,201812,34,14,11,20181231.0,20181203.0,69572.82,9253.42
877706,7,C,201901,49,12,10,20190130.0,20190102.0,27868.9,4742.98
877706,7,C,201902,16,9,6,20190226.0,20190205.0,9910.9,2309.96
877706,7,C,201903,34,13,7,20190328.0,20190301.0,10876.81,1312.22
877706,7,C,201904,40,9,9,20190430.0,20190409.0,9811.5,4205.62
877706,7,C,201905,8,3,6,20190531.0,20190514.0,5978.84,-97.11
877706,7,C,201906,23,9,5,20190625.0,20190607.0,7256.58,1278.97
877706,7,C,201907,10,6,4,20190722.0,20190702.0,-1929.94,987.52
877706,7,C,201908,9,5,10,20190830.0,20190801.0,9318.21,1018.63
877706,7,C,201909,26,10,13,20190930.0,20190903.0,19410.71,2337.25
877706,7,C,201910,67,24,13,20191030.0,20191001.0,41638.06,8239.22
877706,7,C,201911,20,12,7,20191127.0,20191101.0,8063.01,2910.63
877706,7,C,201912,35,10,10,20191231.0,20191202.0,26210.46,4046.11
