customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
16129,4,B,201601,9,7,7,20160129.0,20160108.0,17244.56,3172.69
16129,4,B,201602,11,4,5,20160229.0,20160202.0,113362.1,17617.39
16129,4,B,201603,18,7,10,20160325.0,20160301.0,54492.98,8885.69
16129,4,B,201604,11,8,6,20160426.0,20160401.0,28152.66,4535.43
16129,4,B,201607,6,4,1,20160701.0,20160701.0,16009.78,3500.86
16129,4,B,201608,9,7,8,20160831.0,20160804.0,10146.9,-253.75
16129,4,B,201609,0,0,0,,,0.0,-139.91
16129,4,B,201610,1,1,1,20161006.0,20161006.0,4564.98,2442.58
16129,4,B,201611,2,1,1,20161129.0,20161129.0,1808.56,235.39
16129,4,B,201612,8,2,3,20161228.0,20161202.0,14876.76,2713.77
16129,4,B,201701,4,4,5,20170131.0,20170118.0,9215.52,-507.74
16129,4,B,201702,17,6,8,20170223.0,20170202.0,161147.9,27029.58
16129,4,B,201703,6,4,3,20170323.0,20170316.0,1316.78,332.01
16129,4,B,201704,2,2,1,20170426.0,20170426.0,438.1,95.62
16129,4,B,201705,6,3,1,20170530.0,20170530.0,5013.87,559.74
16129,4,B,201706,1,1,1,20170630.0,20170630.0,4999.76,424.96
16129,4,B,201708,18,12,12,20170831.0,20170802.0,322721.6,38375.38
16129,4,B,201709,9,3,6,20170927.0,20170901.0,2609.59,594.09
16129,4,B,201710,1,1,4,20171026.0,20171010.0,87.7,12.12
16129,4,B,201712,6,2,1,20171205.0,20171205.0,96211.58,11964.85
16129,4,B,201801,1,1,2,20180117.0,20180116.0,1106.35,1106.35
16129,4,B,201803,0,0,0,,,0.0,-1600.0
16129,4,B,201804,3,2,2,20180427.0,20180403.0,18429.2,3311.2
16129,4,B,201806,1,1,1,20180627.0,20180627.0,13440.0,1440.0
16129,4,B,201807,5,1,1,20180713.0,20180713.0,179241.0,18719.5
16129,4,B,201808,2,2,1,20180823.0,20180823.0,1135.66,310.6
