customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
931865,1,A,201603,1,1,1,20160314.0,20160314.0,834.38,166.88
931865,1,A,201604,1,1,1,20160413.0,20160413.0,-41.54,-8.31
931865,1,A,201606,0,0,0,,,45.14,-117.02
931865,1,A,201607,1,1,2,20160720.0,20160715.0,10721.1,1929.85
931865,1,A,201610,2,2,1,20161007.0,20161007.0,868.97,-105.25
931865,1,A,201611,0,0,0,,,0.0,0.0
931865,1,A,201612,29,6,2,20161227.0,20161206.0,13259.11,840.24
931865,1,A,201701,5,5,3,20170131.0,20170104.0,5716.27,1150.62
931865,1,A,201702,9,4,7,20170227.0,20170201.0,3529.94,704.35
931865,1,A,201703,30,6,6,20170331.0,20170306.0,46161.46,5680.76
931865,1,A,201704,7,3,4,20170428.0,20170403.0,2906.12,616.89
931865,1,A,201705,4,3,2,20170503.0,20170501.0,3926.59,758.84
931865,1,A,201706,2,2,2,20170620.0,20170615.0,3823.58,677.35
931865,1,A,201707,2,2,2,20170731.0,20170717.0,1193.09,263.39
931865,1,A,201708,2,2,2,20170818.0,20170801.0,3401.23,632.62
931865,1,A,201709,7,3,3,20170930.0,20170919.0,2564.4,-237.42
931865,1,A,201710,5,4,4,20171027.0,20171006.0,7078.02,432.92
931865,1,A,201711,2,1,2,20171128.0,20171120.0,325.11,76.19
931865,1,A,201801,7,3,5,20180123.0,20180111.0,3999.3,861.94
931865,1,A,201803,1,1,1,20180307.0,20180307.0,188.39,56.92
931865,1,A,201805,1,1,1,20180531.0,20180531.0,232.39,50.16
931865,1,A,201806,3,1,2,20180612.0,20180611.0,4970.21,1056.18
931865,1,A,201807,3,1,1,20180706.0,20180706.0,627.15,184.92
931865,1,A,201809,1,1,1,20180927.0,20180927.0,422.94,109.29
931865,1,A,201901,1,1,1,20190124.0,20190124.0,558.88,256.72
931865,1,A,201910,1,1,1,20191028.0,20191028.0,54.17,19.14
