customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
553556,2,B,201601,25,14,10,20160129.0,20160104.0,2217.42,475.34
553556,2,B,201602,20,15,12,20160229.0,20160202.0,8931.01,1494.27
553556,2,B,201603,43,22,14,20160328.0,20160301.0,4201.61,726.78
553556,2,B,201604,19,11,13,20160428.0,20160405.0,2863.27,539.17
553556,2,B,201605,22,13,9,20160525.0,20160502.0,13221.27,2257.19
553556,2,B,201606,18,12,12,20160629.0,20160606.0,3221.47,644.29
553556,2,B,201607,10,8,7,20160729.0,20160701.0,4658.61,791.4
553556,2,B,201608,19,12,14,20160829.0,20160802.0,5037.88,883.1
553556,2,B,201609,8,5,5,20160928.0,20160916.0,703.51,201.09
553556,2,B,201610,19,12,15,20161027.0,20161004.0,5991.05,1000.39
553556,2,B,201611,9,7,9,20161129.0,20161101.0,5436.72,805.85
553556,2,B,201612,10,10,9,20161230.0,20161201.0,6360.58,1067.75
553556,2,B,201701,30,17,17,20170131.0,20170103.0,6363.55,1087.8
553556,2,B,201702,18,12,13,20170227.0,20170201.0,3193.99,633.25
553556,2,B,201703,19,11,15,20170331.0,20170302.0,2726.6,557.72
553556,2,B,201704,8,7,4,20170425.0,20170404.0,926.34,128.03
553556,2,B,201705,10,7,8,20170530.0,20170504.0,2254.65,373.94
553556,2,B,201706,7,5,8,20170629.0,20170602.0,590.62,103.77
553556,2,B,201707,16,9,9,20170728.0,20170706.0,5977.87,996.52
553556,2,B,201708,15,13,12,20170831.0,20170801.0,3003.67,476.28
553556,2,B,201709,6,6,5,20170929.0,20170901.0,1183.54,66.55
553556,2,B,201710,15,13,13,20171031.0,20171003.0,2179.45,399.05
553556,2,B,201711,13,11,9,20171130.0,20171102.0,1926.85,523.68
553556,2,B,201712,13,9,7,20171220.0,20171201.0,2818.08,514.86
553556,2,B,201801,15,13,11,20180131.0,20180102.0,982.78,129.98
553556,2,B,201802,10,8,9,20180228.0,20180201.0,4814.48,792.75
553556,2,B,201803,9,9,9,20180328.0,20180301.0,8435.86,1591.25
553556,2,B,201804,7,6,7,20180430.0,20180402.0,514.42,93.19
553556,2,B,201805,15,11,10,20180529.0,20180503.0,4536.13,908.38
553556,2,B,201806,17,15,8,20180628.0,20180601.0,8355.49,1262.13
553556,2,B,201807,12,8,10,20180731.0,20180703.0,4992.67,893.56
553556,2,B,201808,6,6,6,20180822.0,20180802.0,462.83,80.1
553556,2,B,201809,4,4,4,20180928.0,20180907.0,6295.2,1882.92
553556,2,B,201810,8,5,7,20181031.0,20181003.0,2942.91,538.33
553556,2,B,201811,15,12,12,20181128.0,20181101.0,3607.63,606.96
553556,2,B,201812,13,11,10,20181227.0,20181203.0,9144.52,1336.57
553556,2,B,201901,11,7,9,20190130.0,20190102.0,5456.29,1051.34
553556,2,B,201902,3,2,2,20190227.0,20190208.0,-182.16,12.51
553556,2,B,201903,25,13,13,20190329.0,20190306.0,4167.06,783.02
553556,2,B,201904,25,17,17,20190426.0,20190401.0,17243.43,3630.52
553556,2,B,201905,12,8,8,20190531.0,20190503.0,3145.85,704.32
553556,2,B,201906,4,3,6,20190628.0,20190607.0,9770.68,1825.63
553556,2,B,201907,8,8,6,20190729.0,20190702.0,5506.08,1119.42
553556,2,B,201908,14,8,10,20190828.0,20190802.0,952.44,254.79
553556,2,B,201909,15,13,9,20190930.0,20190904.0,3946.51,1289.47
553556,2,B,201910,18,11,12,20191031.0,20191007.0,5963.98,1049.75
553556,2,B,201911,18,11,10,20191126.0,20191105.0,7724.6,1970.86
553556,2,B,201912,11,7,11,20191231.0,20191204.0,9803.5,2435.92
