customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
414063,2,B,201601,3,1,3,20160108.0,20160104.0,637.75,341.0
414063,2,B,201603,1,1,1,20160329.0,20160329.0,2823.9,973.9
414063,2,B,201604,14,5,3,20160426.0,20160414.0,9722.93,3213.57
414063,2,B,201605,6,4,2,20160527.0,20160511.0,978.01,415.7
414063,2,B,201606,3,3,2,20160620.0,20160617.0,848.8,528.86
414063,2,B,201608,0,0,0,,,-284.74,-284.74
414063,2,B,201609,1,1,1,20160927.0,20160927.0,327.91,93.34
414063,2,B,201702,4,2,2,20170227.0,20170223.0,1195.77,438.56
414063,2,B,201703,5,1,3,20170320.0,20170306.0,1789.98,590.49
414063,2,B,201706,1,1,1,20170623.0,20170623.0,2096.11,754.73
414063,2,B,201707,2,2,2,20170731.0,20170713.0,1137.23,240.0
414063,2,B,201708,2,2,2,20170831.0,20170824.0,1443.94,311.44
414063,2,B,201709,3,2,2,20170907.0,20170906.0,686.09,219.99
414063,2,B,201711,4,4,4,20171114.0,20171102.0,4817.82,1529.68
414063,2,B,201801,5,5,6,20180129.0,20180111.0,5861.8,1165.76
414063,2,B,201802,2,2,2,20180219.0,20180213.0,2116.0,-116.0
414063,2,B,201803,4,4,5,20180330.0,20180308.0,5408.4,1469.84
414063,2,B,201804,19,12,5,20180430.0,20180402.0,27037.83,4886.74
414063,2,B,201805,5,5,4,20180530.0,20180516.0,2254.6,272.66
414063,2,B,201806,7,6,4,20180627.0,20180601.0,9654.34,2477.46
414063,2,B,201808,1,1,1,20180817.0,20180817.0,146.9,55.56
414063,2,B,201809,1,1,1,20180904.0,20180904.0,174.8,49.52
414063,2,B,201810,1,1,1,20181016.0,20181016.0,1139.56,427.56
414063,2,B,201811,6,4,3,20181115.0,20181107.0,987.98,266.5
414063,2,B,201812,2,1,2,20181217.0,20181206.0,656.65,108.3
414063,2,B,201901,0,0,0,,,0.0,-268.5
414063,2,B,201903,0,0,0,,,3388.68,1145.88
414063,2,B,201904,1,1,1,20190411.0,20190411.0,1086.0,150.0
414063,2,B,201906,1,1,1,20190625.0,20190625.0,548.67,43.92
414063,2,B,201907,1,1,1,20190718.0,20190718.0,1116.0,180.0
414063,2,B,201910,3,3,2,20191031.0,20191023.0,3512.13,493.94
414063,2,B,201911,2,1,1,20191119.0,20191119.0,822.5,327.05
