customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
950750,7,A,201601,6,3,4,20160126.0,20160106.0,4983.67,844.9
950750,7,A,201602,1,1,2,20160209.0,20160201.0,546.97,95.89
950750,7,A,201603,2,2,2,20160330.0,20160318.0,1590.23,262.92
950750,7,A,201604,1,1,1,20160404.0,20160404.0,734.4,127.82
950750,7,A,201605,1,1,2,20160518.0,20160516.0,779.72,88.29
950750,7,A,201606,2,2,3,20160629.0,20160609.0,548.88,77.4
950750,7,A,201607,1,1,2,20160715.0,20160714.0,657.02,108.63
950750,7,A,201608,3,1,1,20160831.0,20160831.0,370.52,61.14
950750,7,A,201609,1,1,1,20160921.0,20160921.0,1284.78,211.97
950750,7,A,201611,7,4,6,20161128.0,20161102.0,3456.08,472.94
950750,7,A,201612,11,5,9,20161230.0,20161201.0,4189.14,489.71
950750,7,A,201701,1,1,1,20170111.0,20170111.0,1162.64,191.84
950750,7,A,201702,10,6,3,20170215.0,20170213.0,993.09,255.88
950750,7,A,201704,2,2,2,20170427.0,20170425.0,473.18,84.5
950750,7,A,201705,2,2,2,20170526.0,20170502.0,1822.55,267.59
950750,7,A,201707,6,3,3,20170728.0,20170721.0,2221.47,419.87
950750,7,A,201708,9,6,3,20170821.0,20170814.0,2322.52,402.44
950750,7,A,201709,1,1,1,20170912.0,20170912.0,378.56,67.57
950750,7,A,201712,2,2,2,20171227.0,20171213.0,1259.08,196.37
950750,7,A,201802,3,2,3,20180215.0,20180201.0,1103.74,194.41
950750,7,A,201808,3,2,4,20180823.0,20180802.0,991.06,189.5
950750,7,A,201809,3,1,2,20180924.0,20180920.0,983.44,167.99
950750,7,A,201810,1,1,1,20181008.0,20181008.0,1787.0,1645.4
950750,7,A,201812,1,1,2,20181231.0,20181207.0,2184.07,393.7
950750,7,A,201901,5,1,7,20190130.0,20190107.0,3329.62,588.27
950750,7,A,201902,3,1,2,20190222.0,20190221.0,145.24,28.22
950750,7,A,201903,12,4,3,20190307.0,20190304.0,1767.51,241.82
950750,7,A,201906,2,1,1,20190613.0,20190613.0,1364.53,299.71
950750,7,A,201907,4,4,3,20190719.0,20190705.0,5724.79,726.26
950750,7,A,201908,1,1,1,20190802.0,20190802.0,115.15,33.11
950750,7,A,201910,1,1,1,20191001.0,20191001.0,3469.12,597.12
950750,7,A,201911,1,1,1,20191101.0,20191101.0,205.0,50.34
