customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
670181,3,A,201601,1,1,1,20160113.0,20160113.0,192.36,22.4
670181,3,A,201602,2,2,2,20160205.0,20160204.0,535.93,63.53
670181,3,A,201603,2,2,2,20160329.0,20160315.0,103.04,43.96
670181,3,A,201606,3,1,1,20160602.0,20160602.0,689.2,114.88
670181,3,A,201607,2,2,1,20160711.0,20160711.0,162.3,27.04
670181,3,A,201608,1,1,1,20160805.0,20160805.0,2551.85,379.73
670181,3,A,201609,2,1,2,20160908.0,20160902.0,141.07,23.35
670181,3,A,201610,10,6,5,20161026.0,20161014.0,3792.82,551.51
670181,3,A,201611,3,3,2,20161130.0,20161101.0,495.45,69.27
670181,3,A,201612,2,1,1,20161214.0,20161214.0,841.33,109.26
670181,3,A,201701,3,2,4,20170131.0,20170111.0,989.36,135.61
670181,3,A,201702,6,3,2,20170210.0,20170202.0,136.17,10.97
670181,3,A,201703,1,1,1,20170306.0,20170306.0,53.04,-4.88
670181,3,A,201704,4,3,1,20170421.0,20170421.0,0.0,0.0
670181,3,A,201705,3,3,4,20170531.0,20170508.0,7123.3,1542.4
670181,3,A,201706,3,2,2,20170622.0,20170606.0,181.36,-29.3
670181,3,A,201707,2,2,3,20170719.0,20170712.0,287.97,1.16
670181,3,A,201708,0,0,0,,,0.0,0.0
670181,3,A,201709,4,3,1,20170918.0,20170918.0,489.53,80.98
670181,3,A,201710,3,2,2,20171023.0,20171003.0,3302.62,484.67
670181,3,A,201712,1,1,1,20171208.0,20171208.0,2375.3,356.29
670181,3,A,201801,1,1,1,20180118.0,20180118.0,75.28,12.58
670181,3,A,201802,2,2,2,20180223.0,20180212.0,1076.12,159.52
670181,3,A,201803,2,2,2,20180314.0,20180306.0,142.6,11.64
670181,3,A,201804,0,0,0,,,0.0,0.0
670181,3,A,201805,1,1,1,20180518.0,20180518.0,2304.0,384.0
670181,3,A,201806,2,1,1,20180622.0,20180622.0,-1431.12,-1546.19
670181,3,A,201807,0,0,0,,,0.0,0.0
670181,3,A,201808,0,0,0,,,0.0,0.0
670181,3,A,201809,4,2,2,20180921.0,20180910.0,536.36,89.86
670181,3,A,201810,0,0,0,,,0.0,0.0
670181,3,A,201811,1,1,3,20181127.0,20181115.0,1954.44,77.2
670181,3,A,201812,0,0,0,,,0.0,0.0
670181,3,A,201901,1,1,1,20190124.0,20190124.0,677.76,101.67
670181,3,A,201903,3,3,3,20190322.0,20190314.0,812.06,84.36
670181,3,A,201904,0,0,0,,,0.0,0.0
670181,3,A,201905,0,0,0,,,911.38,151.9
670181,3,A,201906,0,0,0,,,0.0,0.0
670181,3,A,201907,0,0,0,,,0.0,0.0
670181,3,A,201908,0,0,0,,,0.0,0.0
670181,3,A,201909,0,0,0,,,0.0,0.0
670181,3,A,201910,0,0,0,,,0.0,0.0
670181,3,A,201911,0,0,0,,,0.0,0.0
670181,3,A,201912,0,0,0,,,0.0,0.0
