customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
341059,6,A,201601,25,5,5,20160126.0,20160111.0,5911.58,1618.75
341059,6,A,201602,3,3,2,20160205.0,20160201.0,577.67,173.29
341059,6,A,201603,10,4,2,20160329.0,20160308.0,595.47,145.79
341059,6,A,201604,12,3,4,20160422.0,20160408.0,1736.68,570.63
341059,6,A,201605,2,1,1,20160502.0,20160502.0,177.9,70.87
341059,6,A,201606,1,1,1,20160620.0,20160620.0,84.24,23.61
341059,6,A,201607,8,5,3,20160726.0,20160720.0,4042.89,-779.03
341059,6,A,201608,6,5,3,20160819.0,20160812.0,1339.68,3285.56
341059,6,A,201610,9,2,1,20161012.0,20161012.0,283.31,39.39
341059,6,A,201611,17,4,4,20161114.0,20161104.0,3048.23,786.21
341059,6,A,201612,1,1,1,20161202.0,20161202.0,220.56,117.97
341059,6,A,201701,3,2,2,20170126.0,20170119.0,1082.56,362.25
341059,6,A,201702,0,0,0,,,-25.0,-25.0
341059,6,A,201703,14,2,1,20170313.0,20170313.0,421.5,117.72
341059,6,A,201704,4,3,1,20170419.0,20170419.0,396.02,137.39
341059,6,A,201705,3,2,1,20170530.0,20170530.0,909.27,345.43
341059,6,A,201707,10,5,2,20170711.0,20170710.0,1130.58,260.61
341059,6,A,201709,2,2,2,20170921.0,20170908.0,368.11,127.73
341059,6,A,201711,4,3,4,20171122.0,20171106.0,1036.21,304.67
341059,6,A,201712,7,4,6,20171227.0,20171204.0,2252.03,674.7
341059,6,A,201801,2,2,2,20180125.0,20180119.0,12090.35,2355.7
341059,6,A,201802,3,2,3,20180207.0,20180202.0,291.42,49.71
341059,6,A,201803,9,2,2,20180320.0,20180319.0,1431.1,373.03
341059,6,A,201804,5,2,3,20180430.0,20180411.0,481.04,103.49
341059,6,A,201805,1,1,1,20180501.0,20180501.0,145.42,25.92
341059,6,A,201807,3,3,2,20180731.0,20180716.0,4560.22,1720.03
341059,6,A,201808,2,1,1,20180823.0,20180823.0,33.1,642.18
341059,6,A,201810,15,2,4,20181025.0,20181002.0,6822.29,1553.8
341059,6,A,201811,13,3,3,20181108.0,20181102.0,3460.25,888.74
341059,6,A,201812,1,1,1,20181203.0,20181203.0,186.9,69.33
341059,6,A,201901,4,2,1,20190109.0,20190109.0,1895.79,424.44
341059,6,A,201902,10,5,4,20190220.0,20190207.0,1909.28,653.1
341059,6,A,201908,11,3,4,20190823.0,20190801.0,2386.71,765.36
341059,6,A,201909,3,2,2,20190923.0,20190910.0,612.33,111.8
341059,6,A,201910,1,1,1,20191017.0,20191017.0,621.46,151.22
341059,6,A,201911,3,2,2,20191112.0,20191111.0,715.1,113.11
