customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
275088,2,B,201601,3,2,1,20160127.0,20160127.0,5857.12,1695.52
275088,2,B,201602,1,1,2,20160229.0,20160226.0,1072.2,407.2
275088,2,B,201603,1,1,1,20160325.0,20160325.0,294.0,119.0
275088,2,B,201604,3,1,4,20160426.0,20160407.0,5442.17,1814.59
275088,2,B,201605,3,3,3,20160518.0,20160502.0,1292.15,448.85
275088,2,B,201606,6,4,2,20160615.0,20160601.0,673.33,149.04
275088,2,B,201608,2,2,2,20160815.0,20160811.0,3070.8,974.28
275088,2,B,201609,1,1,1,20160913.0,20160913.0,1250.0,250.0
275088,2,B,201611,16,4,1,20161101.0,20161101.0,63.88,23.11
275088,2,B,201702,1,1,1,20170213.0,20170213.0,3242.6,1218.6
275088,2,B,201704,1,1,1,20170403.0,20170403.0,497.5,153.66
275088,2,B,201707,7,6,3,20170720.0,20170707.0,6652.53,1144.84
275088,2,B,201709,1,1,1,20170922.0,20170922.0,4399.0,1639.0
275088,2,B,201712,2,2,1,20171222.0,20171222.0,921.2,325.6
275088,2,B,201802,7,3,2,20180216.0,20180215.0,302.99,106.49
275088,2,B,201806,1,1,1,20180613.0,20180613.0,8821.42,1219.44
275088,2,B,201901,2,2,3,20190131.0,20190121.0,1616.83,563.91
275088,2,B,201903,2,2,2,20190327.0,20190315.0,9922.67,1412.31
275088,2,B,201905,5,5,1,20190514.0,20190514.0,203.81,53.25
275088,2,B,201906,1,1,1,20190613.0,20190613.0,28.54,3.35
275088,2,B,201907,1,1,1,20190709.0,20190709.0,517.17,92.17
275088,2,B,201908,2,1,3,20190826.0,20190802.0,3421.61,659.11
