customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
964058,1,B,201601,5,2,2,20160120.0,20160112.0,1604.6,643.16
964058,1,B,201607,4,2,5,20160725.0,20160711.0,4265.11,1449.27
964058,1,B,201608,1,1,1,20160816.0,20160816.0,551.81,45.52
964058,1,B,201610,4,1,1,20161010.0,20161010.0,811.08,230.1
964058,1,B,201701,1,1,1,20170111.0,20170111.0,4879.15,1322.65
964058,1,B,201702,2,1,1,20170214.0,20170214.0,3250.51,1034.49
964058,1,B,201703,3,2,1,20170303.0,20170303.0,469.36,189.63
964058,1,B,201704,2,2,2,20170410.0,20170407.0,658.62,336.41
964058,1,B,201705,2,2,3,20170523.0,20170503.0,4247.54,1128.96
964058,1,B,201707,4,2,2,20170718.0,20170714.0,5161.21,1248.95
964058,1,B,201708,6,4,5,20170823.0,20170803.0,1340.29,451.27
964058,1,B,201709,1,1,1,20170908.0,20170908.0,214.25,48.64
964058,1,B,201710,1,1,1,20171027.0,20171027.0,907.44,295.78
964058,1,B,201712,0,0,0,,,85.04,24.09
964058,1,B,201805,1,1,1,20180517.0,20180517.0,916.84,286.22
964058,1,B,201807,1,1,1,20180702.0,20180702.0,310.57,134.52
964058,1,B,201909,1,1,1,20190918.0,20190918.0,198.22,62.83
