customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
456444,9,A,201601,15,6,6,20160129.0,20160105.0,4955.76,1143.23,2016-01-01,,0
456444,9,A,201602,5,5,4,20160222.0,20160204.0,1263.16,399.4,2016-02-01,31 days,0
456444,9,A,201603,12,7,6,20160329.0,20160311.0,1811.79,373.49,2016-03-01,29 days,0
456444,9,A,201604,5,1,2,20160422.0,20160420.0,56.75,8.09,2016-04-01,31 days,0
456444,9,A,201605,17,7,7,20160531.0,20160509.0,3367.15,813.7,2016-05-01,30 days,0
456444,9,A,201606,10,8,8,20160627.0,20160603.0,6593.88,1319.81,2016-06-01,31 days,0
456444,9,A,201607,7,4,4,20160727.0,20160712.0,2925.94,719.24,2016-07-01,30 days,0
456444,9,A,201608,3,3,3,20160816.0,20160803.0,1386.04,310.32,2016-08-01,31 days,0
456444,9,A,201609,9,7,8,20160928.0,20160901.0,2710.2,560.0,2016-09-01,31 days,0
456444,9,A,201610,4,4,4,20161021.0,20161006.0,2492.67,617.21,2016-10-01,30 days,0
456444,9,A,201611,2,2,2,20161121.0,20161116.0,259.81,118.84,2016-11-01,31 days,0
456444,9,A,201612,5,4,4,20161230.0,20161221.0,1122.57,208.91,2016-12-01,30 days,0
456444,9,A,201701,13,6,6,20170130.0,20170110.0,1265.88,314.96,2017-01-01,31 days,0
456444,9,A,201702,2,2,2,20170223.0,20170208.0,7.73,59.15,2017-02-01,31 days,0
456444,9,A,201703,3,2,2,20170313.0,20170301.0,586.77,160.2,2017-03-01,28 days,0
456444,9,A,201704,14,5,6,20170426.0,20170403.0,2440.01,591.28,2017-04-01,31 days,0
456444,9,A,201705,10,2,5,20170525.0,20170502.0,1408.03,337.06,2017-05-01,30 days,0
456444,9,A,201706,38,9,13,20170627.0,20170606.0,8430.47,2308.85,2017-06-01,31 days,0
456444,9,A,201707,9,5,5,20170728.0,20170703.0,1163.83,298.99,2017-07-01,30 days,0
456444,9,A,201708,7,5,3,20170821.0,20170809.0,3294.41,863.42,2017-08-01,31 days,0
456444,9,A,201709,7,4,6,20170928.0,20170901.0,2766.9,668.1,2017-09-01,31 days,0
456444,9,A,201710,10,7,7,20171031.0,20171005.0,1960.43,505.76,2017-10-01,30 days,0
456444,9,A,201711,1,1,1,20171103.0,20171103.0,423.72,87.86,2017-11-01,31 days,0
456444,9,A,201712,5,3,4,20171219.0,20171207.0,1227.54,536.1,2017-12-01,30 days,0
456444,9,A,201801,3,2,3,20180124.0,20180103.0,435.65,184.33,2018-01-01,31 days,0
456444,9,A,201802,5,3,5,20180228.0,20180213.0,2107.83,524.09,2018-02-01,31 days,0
456444,9,A,201803,2,2,3,20180329.0,20180315.0,784.03,358.76,2018-03-01,28 days,0
456444,9,A,201804,1,1,1,20180410.0,20180410.0,334.34,113.2,2018-04-01,31 days,0
456444,9,A,201805,3,2,2,20180525.0,20180521.0,992.59,476.75,2018-05-01,30 days,0
456444,9,A,201806,8,5,5,20180629.0,20180601.0,7121.39,1518.57,2018-06-01,31 days,0
456444,9,A,201807,4,3,4,20180731.0,20180703.0,1103.79,284.42,2018-07-01,30 days,0
456444,9,A,201808,21,8,10,20180829.0,20180806.0,6234.7,1862.19,2018-08-01,31 days,0
456444,9,A,201809,3,3,3,20180928.0,20180912.0,1135.18,392.12,2018-09-01,31 days,0
456444,9,A,201810,3,3,2,20181024.0,20181002.0,4800.36,1000.48,2018-10-01,30 days,0
456444,9,A,201811,2,2,2,20181127.0,20181106.0,2308.39,627.65,2018-11-01,31 days,0
456444,9,A,201812,8,6,5,20181231.0,20181204.0,4771.44,1195.6,2018-12-01,30 days,0
456444,9,A,201901,7,4,5,20190124.0,20190109.0,6994.65,1444.44,2019-01-01,31 days,0
456444,9,A,201903,6,5,4,20190322.0,20190304.0,3587.95,1133.01,2019-03-01,59 days,0
456444,9,A,201904,3,2,3,20190425.0,20190401.0,701.53,264.41,2019-04-01,31 days,0
456444,9,A,201905,3,3,3,20190517.0,20190506.0,5426.32,1576.08,2019-05-01,30 days,0
456444,9,A,201906,4,1,1,20190611.0,20190611.0,294.25,59.5,2019-06-01,31 days,0
456444,9,A,201908,2,2,2,20190807.0,20190806.0,297.7,72.75,2019-08-01,61 days,0
456444,9,A,201909,6,2,6,20190927.0,20190909.0,1239.13,353.14,2019-09-01,31 days,0
456444,9,A,201910,6,2,3,20191029.0,20191016.0,21488.57,2735.6,2019-10-01,30 days,0
456444,9,A,201911,6,5,3,20191122.0,20191106.0,2262.9,613.17,2019-11-01,31 days,0
456444,9,A,201912,2,2,2,20191231.0,20191213.0,1399.84,153.57,2019-12-01,30 days,0
