customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
672013,9,B,201601,4,1,1,20160107.0,20160107.0,129.77,33.3,2016-01-01,,0
672013,9,B,201602,1,1,1,20160225.0,20160225.0,22.6,33.28,2016-02-01,31 days,0
672013,9,B,201603,7,3,4,20160328.0,20160317.0,18065.57,3520.98,2016-03-01,29 days,0
672013,9,B,201604,2,2,2,20160419.0,20160414.0,18.46,3.73,2016-04-01,31 days,0
672013,9,B,201605,4,3,2,20160520.0,20160504.0,110.11,36.32,2016-05-01,30 days,0
672013,9,B,201606,7,5,6,20160629.0,20160609.0,246.76,107.75,2016-06-01,31 days,0
672013,9,B,201607,11,6,3,20160727.0,20160711.0,1073.68,293.95,2016-07-01,30 days,0
672013,9,B,201608,2,2,2,20160825.0,20160810.0,25.65,7.71,2016-08-01,31 days,0
672013,9,B,201611,6,5,3,20161129.0,20161102.0,625.64,201.27,2016-11-01,92 days,0
672013,9,B,201612,1,1,1,20161208.0,20161208.0,165.42,62.7,2016-12-01,30 days,0
672013,9,B,201701,2,2,1,20170126.0,20170126.0,37.05,7.52,2017-01-01,31 days,0
672013,9,B,201702,2,2,2,20170213.0,20170201.0,124.14,45.69,2017-02-01,31 days,0
672013,9,B,201703,1,1,1,20170308.0,20170308.0,39.51,9.64,2017-03-01,28 days,0
672013,9,B,201705,1,1,1,20170517.0,20170517.0,201.12,63.64,2017-05-01,61 days,0
672013,9,B,201706,13,7,2,20170607.0,20170602.0,473.83,108.81,2017-06-01,31 days,0
672013,9,B,201707,1,1,1,20170703.0,20170703.0,21.3,6.77,2017-07-01,30 days,0
672013,9,B,201708,38,15,8,20170828.0,20170808.0,21611.82,4036.18,2017-08-01,31 days,0
672013,9,B,201709,5,4,3,20170927.0,20170908.0,987.38,223.92,2017-09-01,31 days,0
672013,9,B,201710,5,4,4,20171018.0,20171003.0,97.51,36.14,2017-10-01,30 days,0
672013,9,B,201711,4,2,1,20171115.0,20171115.0,27.81,11.12,2017-11-01,31 days,0
672013,9,B,201712,1,1,1,20171214.0,20171214.0,47.85,23.03,2017-12-01,30 days,0
672013,9,B,201801,6,5,3,20180124.0,20180104.0,215.43,72.73,2018-01-01,31 days,0
672013,9,B,201802,1,1,1,20180227.0,20180227.0,3190.0,510.28,2018-02-01,31 days,0
672013,9,B,201803,2,2,3,20180316.0,20180308.0,4601.99,728.61,2018-03-01,28 days,0
672013,9,B,201804,5,5,3,20180420.0,20180403.0,427.58,147.28,2018-04-01,31 days,0
672013,9,B,201805,32,10,6,20180529.0,20180501.0,6415.87,1466.63,2018-05-01,30 days,0
672013,9,B,201806,16,4,3,20180626.0,20180601.0,1991.91,1478.31,2018-06-01,31 days,0
672013,9,B,201807,3,3,3,20180730.0,20180706.0,159.32,60.27,2018-07-01,30 days,0
672013,9,B,201808,6,5,4,20180830.0,20180806.0,3838.98,1035.78,2018-08-01,31 days,0
672013,9,B,201809,1,1,1,20180907.0,20180907.0,61.99,27.28,2018-09-01,31 days,0
672013,9,B,201810,8,4,5,20181030.0,20181009.0,6267.81,1570.83,2018-10-01,30 days,0
672013,9,B,201812,3,3,2,20181231.0,20181227.0,57.99,19.46,2018-12-01,61 days,0
672013,9,B,201901,9,7,2,20190125.0,20190115.0,1269.91,365.31,2019-01-01,31 days,0
672013,9,B,201902,5,4,2,20190227.0,20190221.0,1008.52,177.65,2019-02-01,31 days,0
672013,9,B,201903,5,1,1,20190311.0,20190311.0,899.68,234.76,2019-03-01,28 days,0
672013,9,B,201904,23,12,5,20190429.0,20190401.0,977.23,291.01,2019-04-01,31 days,0
672013,9,B,201905,10,6,4,20190529.0,20190502.0,1226.82,390.16,2019-05-01,30 days,0
672013,9,B,201906,4,3,3,20190620.0,20190606.0,148.48,50.79,2019-06-01,31 days,0
672013,9,B,201907,8,7,3,20190731.0,20190702.0,240.86,104.35,2019-07-01,30 days,0
672013,9,B,201908,3,3,1,20190802.0,20190802.0,261.61,97.06,2019-08-01,31 days,0
672013,9,B,201909,9,6,2,20190926.0,20190918.0,120.77,33.85,2019-09-01,31 days,0
672013,9,B,201910,32,14,3,20191031.0,20191022.0,653.16,242.02,2019-10-01,30 days,0
672013,9,B,201911,27,12,5,20191125.0,20191104.0,999.26,381.47,2019-11-01,31 days,0
672013,9,B,201912,6,5,3,20191226.0,20191213.0,618.11,217.41,2019-12-01,30 days,0
