customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
692447,5,B,201601,69,18,10,20160129.0,20160105.0,11303.24,3053.31,2016-01-01,,0
692447,5,B,201602,45,15,9,20160226.0,20160203.0,4649.46,1434.2,2016-02-01,31 days,0
692447,5,B,201603,80,20,13,20160330.0,20160301.0,12011.68,3158.76,2016-03-01,29 days,0
692447,5,B,201604,86,21,15,20160429.0,20160401.0,14175.4,4010.62,2016-04-01,31 days,0
692447,5,B,201605,89,20,10,20160531.0,20160503.0,15884.68,4380.4,2016-05-01,30 days,0
692447,5,B,201606,76,18,10,20160629.0,20160603.0,8526.54,2617.21,2016-06-01,31 days,0
692447,5,B,201607,93,18,9,20160729.0,20160705.0,14246.53,4642.7,2016-07-01,30 days,0
692447,5,B,201608,101,18,12,20160830.0,20160803.0,24779.99,7268.85,2016-08-01,31 days,0
692447,5,B,201609,54,14,10,20160930.0,20160906.0,11601.82,3100.4,2016-09-01,31 days,0
692447,5,B,201610,86,19,17,20161031.0,20161004.0,21482.97,6060.7,2016-10-01,30 days,0
692447,5,B,201611,71,17,11,20161130.0,20161101.0,10514.02,3117.43,2016-11-01,31 days,0
692447,5,B,201612,73,15,11,20161229.0,20161202.0,8317.71,2318.95,2016-12-01,30 days,0
692447,5,B,201701,68,20,14,20170131.0,20170103.0,17117.33,4832.29,2017-01-01,31 days,0
692447,5,B,201702,55,18,10,20170228.0,20170201.0,9440.02,2609.08,2017-02-01,31 days,0
692447,5,B,201703,63,17,17,20170331.0,20170303.0,14254.48,3705.52,2017-03-01,28 days,0
692447,5,B,201704,68,19,9,20170428.0,20170404.0,20746.19,5487.43,2017-04-01,31 days,0
692447,5,B,201705,68,20,13,20170530.0,20170502.0,11973.66,3504.45,2017-05-01,30 days,0
692447,5,B,201706,74,15,14,20170630.0,20170601.0,12585.87,3699.52,2017-06-01,31 days,0
692447,5,B,201707,85,18,10,20170728.0,20170703.0,21470.29,5523.07,2017-07-01,30 days,0
692447,5,B,201708,84,23,11,20170829.0,20170801.0,26680.86,7433.13,2017-08-01,31 days,0
692447,5,B,201709,74,18,11,20170929.0,20170906.0,12111.0,3452.77,2017-09-01,31 days,0
692447,5,B,201710,133,18,13,20171031.0,20171002.0,22582.95,6585.8,2017-10-01,30 days,0
692447,5,B,201711,98,17,17,20171130.0,20171101.0,15265.36,4212.67,2017-11-01,31 days,0
692447,5,B,201712,65,16,16,20171228.0,20171201.0,8649.5,2542.19,2017-12-01,30 days,0
692447,5,B,201801,62,15,12,20180130.0,20180102.0,13363.57,3574.98,2018-01-01,31 days,0
692447,5,B,201802,71,18,11,20180228.0,20180202.0,13324.45,3890.99,2018-02-01,31 days,0
692447,5,B,201803,69,20,14,20180330.0,20180301.0,12137.7,3473.28,2018-03-01,28 days,0
692447,5,B,201804,76,20,15,20180430.0,20180402.0,19778.42,5418.93,2018-04-01,31 days,0
692447,5,B,201805,68,17,11,20180530.0,20180501.0,10738.93,3091.57,2018-05-01,30 days,0
692447,5,B,201806,66,17,11,20180627.0,20180601.0,9481.52,2841.24,2018-06-01,31 days,0
692447,5,B,201807,60,14,12,20180727.0,20180702.0,11493.15,3449.88,2018-07-01,30 days,0
692447,5,B,201808,81,18,12,20180829.0,20180801.0,11633.23,3553.92,2018-08-01,31 days,0
692447,5,B,201809,78,19,12,20180926.0,20180904.0,20373.11,5664.45,2018-09-01,31 days,0
692447,5,B,201810,76,18,7,20181030.0,20181001.0,17636.16,5007.13,2018-10-01,30 days,0
692447,5,B,201811,52,18,10,20181130.0,20181101.0,7302.22,2097.77,2018-11-01,31 days,0
692447,5,B,201812,79,17,10,20181228.0,20181203.0,12529.51,3808.67,2018-12-01,30 days,0
692447,5,B,201901,75,19,7,20190130.0,20190102.0,12823.97,1944.77,2019-01-01,31 days,0
692447,5,B,201902,85,20,10,20190227.0,20190205.0,12375.74,3320.37,2019-02-01,31 days,0
692447,5,B,201903,102,20,11,20190328.0,20190304.0,14905.89,4250.24,2019-03-01,28 days,0
692447,5,B,201904,89,22,12,20190429.0,20190402.0,13126.06,3889.79,2019-04-01,31 days,0
692447,5,B,201905,133,20,15,20190530.0,20190501.0,31886.14,8196.67,2019-05-01,30 days,0
692447,5,B,201906,83,18,8,20190627.0,20190604.0,15642.88,4297.85,2019-06-01,31 days,0
692447,5,B,201907,82,22,14,20190731.0,20190702.0,29948.86,8595.55,2019-07-01,30 days,0
692447,5,B,201908,78,18,12,20190829.0,20190801.0,13162.38,3892.92,2019-08-01,31 days,0
692447,5,B,201909,31,13,9,20190926.0,20190905.0,4992.67,1453.33,2019-09-01,31 days,0
692447,5,B,201910,82,18,10,20191031.0,20191001.0,12300.63,4020.19,2019-10-01,30 days,0
692447,5,B,201911,45,15,8,20191126.0,20191104.0,3955.18,1318.11,2019-11-01,31 days,0
692447,5,B,201912,55,14,12,20191231.0,20191202.0,6971.23,2243.38,2019-12-01,30 days,0
