customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
304819,9,B,201601,15,8,7,20160120.0,20160104.0,1408.39,373.39,2016-01-01,,1
304819,9,B,201602,56,16,7,20160229.0,20160209.0,3090.02,927.48,2016-02-01,31 days,1
304819,9,B,201603,18,9,5,20160330.0,20160301.0,2365.23,532.06,2016-03-01,29 days,1
304819,9,B,201604,6,2,1,20160421.0,20160421.0,108.86,22.81,2016-04-01,31 days,1
304819,9,B,201605,32,16,8,20160531.0,20160503.0,5629.4,1240.53,2016-05-01,30 days,1
304819,9,B,201606,21,10,4,20160628.0,20160601.0,5821.0,1244.08,2016-06-01,31 days,1
304819,9,B,201607,35,16,4,20160727.0,20160701.0,1610.35,337.58,2016-07-01,30 days,1
304819,9,B,201608,2,1,3,20160825.0,20160816.0,3730.0,756.0,2016-08-01,31 days,1
304819,9,B,201609,9,6,2,20160929.0,20160907.0,970.75,222.75,2016-09-01,31 days,1
304819,9,B,201610,6,3,4,20161024.0,20161003.0,1183.12,337.36,2016-10-01,30 days,1
304819,9,B,201611,6,5,5,20161130.0,20161110.0,4974.41,983.79,2016-11-01,31 days,1
304819,9,B,201612,17,7,3,20161221.0,20161201.0,-964.98,86.62,2016-12-01,30 days,1
304819,9,B,201701,2,2,2,20170116.0,20170111.0,10849.37,1735.95,2017-01-01,31 days,1
304819,9,B,201702,6,4,5,20170224.0,20170202.0,598.95,138.81,2017-02-01,31 days,1
304819,9,B,201703,18,4,8,20170327.0,20170301.0,1739.7,598.68,2017-03-01,28 days,1
304819,9,B,201704,8,5,3,20170428.0,20170413.0,614.58,192.21,2017-04-01,31 days,1
304819,9,B,201705,51,8,9,20170531.0,20170505.0,7281.59,1353.93,2017-05-01,30 days,1
304819,9,B,201706,19,9,8,20170626.0,20170601.0,5303.52,1086.1,2017-06-01,31 days,1
304819,9,B,201707,9,4,6,20170727.0,20170706.0,1013.35,286.95,2017-07-01,30 days,1
304819,9,B,201708,15,7,7,20170825.0,20170802.0,829.27,254.77,2017-08-01,31 days,1
304819,9,B,201709,1,1,1,20170918.0,20170918.0,3937.76,386.01,2017-09-01,31 days,1
304819,9,B,201710,19,9,4,20171025.0,20171002.0,849.7,176.61,2017-10-01,30 days,1
304819,9,B,201711,1,1,1,20171130.0,20171130.0,1683.36,128.37,2017-11-01,31 days,1
304819,9,B,201712,27,11,5,20171221.0,20171204.0,1416.89,453.25,2017-12-01,30 days,1
304819,9,B,201802,1,1,1,20180212.0,20180212.0,29.88,8.97,2018-02-01,62 days,1
304819,9,B,201803,0,0,0,,,-118.8,-19.8,2018-03-01,28 days,1
304819,9,B,201805,27,14,6,20180531.0,20180501.0,3637.49,1129.98,2018-05-01,61 days,1
304819,9,B,201806,2,2,2,20180626.0,20180601.0,131.3,32.86,2018-06-01,31 days,1
304819,9,B,201808,13,4,3,20180820.0,20180816.0,2334.51,1321.43,2018-08-01,61 days,1
304819,9,B,201809,7,5,2,20180924.0,20180920.0,322.47,72.6,2018-09-01,31 days,1
304819,9,B,201810,2,2,2,20181010.0,20181008.0,-16.84,-7.53,2018-10-01,30 days,1
304819,9,B,201811,44,17,8,20181130.0,20181105.0,4659.93,831.7,2018-11-01,31 days,1
304819,9,B,201812,3,3,3,20181214.0,20181207.0,2997.04,656.16,2018-12-01,30 days,1
304819,9,B,201901,3,3,2,20190109.0,20190108.0,200.67,34.02,2019-01-01,31 days,1
304819,9,B,201902,1,1,1,20190218.0,20190218.0,1804.0,266.5,2019-02-01,31 days,1
304819,9,B,201904,6,3,2,20190411.0,20190403.0,55.28,21.26,2019-04-01,59 days,1
304819,9,B,201905,7,4,4,20190529.0,20190516.0,8976.44,1076.58,2019-05-01,30 days,1
304819,9,B,201906,21,9,4,20190614.0,20190605.0,8772.83,1095.62,2019-06-01,31 days,1
304819,9,B,201908,6,6,2,20190826.0,20190814.0,782.17,273.71,2019-08-01,61 days,1
304819,9,B,201909,0,0,0,,,-110.35,-39.07,2019-09-01,31 days,1
304819,9,B,201910,2,2,1,20191029.0,20191029.0,143.48,39.35,2019-10-01,30 days,1
304819,9,B,201911,1,1,1,20191108.0,20191108.0,335.48,121.7,2019-11-01,31 days,1
