customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
940985,9,A,201601,1,1,2,20160107.0,20160106.0,369.46,170.31,2016-01-01,,0
940985,9,A,201602,2,2,2,20160205.0,20160203.0,691.63,311.89,2016-02-01,31 days,0
940985,9,A,201603,4,3,4,20160318.0,20160301.0,821.99,316.57,2016-03-01,29 days,0
940985,9,A,201604,4,3,5,20160427.0,20160405.0,839.93,347.67,2016-04-01,31 days,0
940985,9,A,201605,4,3,3,20160531.0,20160509.0,795.12,326.53,2016-05-01,30 days,0
940985,9,A,201606,3,3,5,20160630.0,20160603.0,1396.07,313.73,2016-06-01,31 days,0
940985,9,A,201607,2,2,2,20160728.0,20160727.0,381.98,186.4,2016-07-01,30 days,0
940985,9,A,201608,3,2,2,20160826.0,20160804.0,854.65,392.7,2016-08-01,31 days,0
940985,9,A,201609,2,1,2,20160930.0,20160915.0,389.83,173.48,2016-09-01,31 days,0
940985,9,A,201610,3,2,4,20161020.0,20161010.0,845.1,406.5,2016-10-01,30 days,0
940985,9,A,201611,4,4,4,20161123.0,20161116.0,1434.95,462.5,2016-11-01,31 days,0
940985,9,A,201612,5,5,5,20161227.0,20161202.0,806.33,306.27,2016-12-01,30 days,0
940985,9,A,201701,11,5,8,20170131.0,20170104.0,1626.78,667.84,2017-01-01,31 days,0
940985,9,A,201702,7,5,4,20170228.0,20170203.0,1932.67,621.71,2017-02-01,31 days,0
940985,9,A,201703,9,5,4,20170329.0,20170320.0,1387.8,377.81,2017-03-01,28 days,0
940985,9,A,201704,9,5,7,20170420.0,20170403.0,2140.95,673.38,2017-04-01,31 days,0
940985,9,A,201705,14,7,6,20170524.0,20170503.0,6197.64,1733.07,2017-05-01,30 days,0
940985,9,A,201706,17,9,9,20170627.0,20170601.0,10243.55,2770.63,2017-06-01,31 days,0
940985,9,A,201707,8,4,7,20170731.0,20170706.0,11835.6,3411.93,2017-07-01,30 days,0
940985,9,A,201708,12,6,8,20170831.0,20170803.0,2839.01,987.36,2017-08-01,31 days,0
940985,9,A,201709,14,8,10,20170928.0,20170905.0,7147.11,2191.51,2017-09-01,31 days,0
940985,9,A,201710,7,5,6,20171020.0,20171003.0,4316.7,1874.68,2017-10-01,30 days,0
940985,9,A,201711,17,12,15,20171130.0,20171102.0,67528.48,20103.75,2017-11-01,31 days,0
940985,9,A,201712,13,8,12,20171227.0,20171201.0,43509.32,12833.26,2017-12-01,30 days,0
940985,9,A,201801,3,3,3,20180123.0,20180110.0,2275.44,590.37,2018-01-01,31 days,0
940985,9,A,201802,9,4,6,20180220.0,20180202.0,807.9,332.77,2018-02-01,31 days,0
940985,9,A,201803,6,5,6,20180329.0,20180305.0,655.23,-127.15,2018-03-01,28 days,0
940985,9,A,201804,5,5,8,20180425.0,20180405.0,67746.12,14524.63,2018-04-01,31 days,0
940985,9,A,201805,12,10,10,20180531.0,20180501.0,74423.22,11116.44,2018-05-01,30 days,0
940985,9,A,201806,10,7,12,20180629.0,20180601.0,50492.24,-1656.83,2018-06-01,31 days,0
940985,9,A,201807,9,7,8,20180730.0,20180709.0,45610.71,-44113.39,2018-07-01,30 days,0
940985,9,A,201808,12,10,11,20180829.0,20180801.0,61751.8,-50870.35,2018-08-01,31 days,0
940985,9,A,201809,9,6,8,20180926.0,20180905.0,60062.56,-44556.96,2018-09-01,31 days,0
940985,9,A,201810,16,11,11,20181026.0,20181002.0,66175.75,-50827.94,2018-10-01,30 days,0
940985,9,A,201811,17,12,12,20181130.0,20181101.0,131022.4,-90767.42,2018-11-01,31 days,0
940985,9,A,201812,5,5,7,20181228.0,20181203.0,73396.91,-105247.8,2018-12-01,30 days,0
940985,9,A,201901,11,7,10,20190123.0,20190103.0,69639.54,-83280.33,2019-01-01,31 days,0
940985,9,A,201902,7,4,4,20190222.0,20190201.0,69817.15,-104465.2,2019-02-01,31 days,0
940985,9,A,201903,4,4,4,20190328.0,20190301.0,76162.63,-84560.69,2019-03-01,28 days,0
940985,9,A,201904,5,3,2,20190422.0,20190410.0,59710.57,-37710.41,2019-04-01,31 days,0
940985,9,A,201905,11,7,7,20190531.0,20190509.0,83788.5,-8832.62,2019-05-01,30 days,0
940985,9,A,201906,7,6,7,20190626.0,20190603.0,80368.27,-24257.22,2019-06-01,31 days,0
940985,9,A,201907,7,6,7,20190730.0,20190708.0,78353.57,-19130.84,2019-07-01,30 days,0
940985,9,A,201908,19,10,12,20190829.0,20190801.0,77628.42,-82545.61,2019-08-01,31 days,0
940985,9,A,201909,10,5,9,20190924.0,20190905.0,159966.5,-108775.0,2019-09-01,31 days,0
940985,9,A,201910,16,8,14,20191028.0,20191001.0,208818.6,-180048.3,2019-10-01,30 days,0
940985,9,A,201911,9,6,11,20191125.0,20191101.0,59232.68,-77872.34,2019-11-01,31 days,0
940985,9,A,201912,3,3,4,20191223.0,20191202.0,117716.6,-178698.7,2019-12-01,30 days,0
