customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
872221,7,A,201601,3,2,2,20160129.0,20160108.0,228.45,54.49,2016-01-01,,1
872221,7,A,201602,3,3,2,20160225.0,20160219.0,576.58,132.76,2016-02-01,31 days,1
872221,7,A,201603,2,2,1,20160304.0,20160304.0,213.34,94.68,2016-03-01,29 days,1
872221,7,A,201604,5,5,2,20160429.0,20160428.0,1060.24,258.28,2016-04-01,31 days,1
872221,7,A,201605,6,4,3,20160525.0,20160512.0,5338.74,1460.09,2016-05-01,30 days,1
872221,7,A,201607,6,3,3,20160722.0,20160714.0,2956.3,728.44,2016-07-01,61 days,1
872221,7,A,201608,2,1,1,20160808.0,20160808.0,31.82,12.75,2016-08-01,31 days,1
872221,7,A,201610,1,1,1,20161027.0,20161027.0,480.58,118.38,2016-10-01,61 days,1
872221,7,A,201611,1,1,1,20161117.0,20161117.0,263.7,61.05,2016-11-01,31 days,1
872221,7,A,201701,0,0,0,,,402.79,197.87,2017-01-01,61 days,1
872221,7,A,201702,0,0,0,,,40.14,11.98,2017-02-01,31 days,1
872221,7,A,201704,3,3,3,20170428.0,20170418.0,1827.12,455.89,2017-04-01,59 days,1
872221,7,A,201705,9,8,3,20170525.0,20170502.0,999.58,279.59,2017-05-01,30 days,1
872221,7,A,201706,2,2,2,20170614.0,20170609.0,701.79,223.95,2017-06-01,31 days,1
872221,7,A,201707,8,6,2,20170731.0,20170719.0,1071.19,400.59,2017-07-01,30 days,1
872221,7,A,201708,5,2,3,20170831.0,20170816.0,635.63,204.82,2017-08-01,31 days,1
872221,7,A,201709,9,4,4,20170920.0,20170901.0,3065.37,391.93,2017-09-01,31 days,1
872221,7,A,201710,3,2,4,20171031.0,20171012.0,207.19,32.46,2017-10-01,30 days,1
872221,7,A,201711,8,5,2,20171115.0,20171113.0,1973.69,613.9,2017-11-01,31 days,1
872221,7,A,201712,1,1,1,20171213.0,20171213.0,70.37,20.0,2017-12-01,30 days,1
872221,7,A,201801,2,2,3,20180118.0,20180105.0,2149.61,294.69,2018-01-01,31 days,1
872221,7,A,201802,0,0,0,,,448.02,102.02,2018-02-01,31 days,1
872221,7,A,201803,1,1,1,20180301.0,20180301.0,893.06,363.38,2018-03-01,28 days,1
872221,7,A,201804,7,5,3,20180426.0,20180417.0,1893.63,453.96,2018-04-01,31 days,1
872221,7,A,201806,3,1,1,20180608.0,20180608.0,1120.1,208.6,2018-06-01,61 days,1
872221,7,A,201807,0,0,0,,,173.8,60.76,2018-07-01,30 days,1
872221,7,A,201808,1,1,1,20180831.0,20180831.0,915.78,216.47,2018-08-01,31 days,1
872221,7,A,201809,9,6,6,20180926.0,20180906.0,694.77,197.07,2018-09-01,31 days,1
872221,7,A,201810,1,1,1,20181002.0,20181002.0,114.0,29.0,2018-10-01,30 days,1
872221,7,A,201811,3,2,2,20181120.0,20181119.0,5702.65,1137.89,2018-11-01,31 days,1
872221,7,A,201812,2,1,1,20181219.0,20181219.0,280.27,88.4,2018-12-01,30 days,1
872221,7,A,201901,4,3,3,20190123.0,20190111.0,385.22,125.59,2019-01-01,31 days,1
872221,7,A,201903,2,1,1,20190327.0,20190327.0,132.84,41.11,2019-03-01,59 days,1
872221,7,A,201904,2,2,2,20190429.0,20190418.0,985.59,235.7,2019-04-01,31 days,1
872221,7,A,201905,3,3,3,20190514.0,20190503.0,1067.1,361.4,2019-05-01,30 days,1
872221,7,A,201906,5,5,3,20190620.0,20190614.0,915.23,267.15,2019-06-01,31 days,1
872221,7,A,201907,2,2,2,20190730.0,20190729.0,2585.32,1101.0,2019-07-01,30 days,1
872221,7,A,201908,3,3,4,20190812.0,20190806.0,-456.76,-130.1,2019-08-01,31 days,1
872221,7,A,201909,3,3,2,20190913.0,20190905.0,149.79,52.46,2019-09-01,31 days,1
872221,7,A,201910,1,1,1,20191021.0,20191021.0,1247.04,504.6,2019-10-01,30 days,1
872221,7,A,201911,0,0,0,,,105.9,37.1,2019-11-01,31 days,1
