customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
736717,5,C,201601,28,9,5,20160122.0,20160104.0,830.11,161.31,2016-01-01,,1
736717,5,C,201603,15,6,5,20160330.0,20160307.0,1308.96,-265.5,2016-03-01,60 days,1
736717,5,C,201604,23,12,6,20160420.0,20160405.0,719.9,331.58,2016-04-01,31 days,1
736717,5,C,201605,7,5,2,20160519.0,20160504.0,781.76,210.18,2016-05-01,30 days,1
736717,5,C,201606,8,7,3,20160628.0,20160616.0,317.38,93.53,2016-06-01,31 days,1
736717,5,C,201607,25,7,4,20160722.0,20160713.0,476.37,115.65,2016-07-01,30 days,1
736717,5,C,201608,25,9,5,20160829.0,20160801.0,723.76,107.89,2016-08-01,31 days,1
736717,5,C,201609,6,4,3,20160926.0,20160901.0,1083.09,216.65,2016-09-01,31 days,1
736717,5,C,201610,6,3,3,20161018.0,20161004.0,212.53,53.52,2016-10-01,30 days,1
736717,5,C,201611,4,3,2,20161118.0,20161107.0,483.18,145.23,2016-11-01,31 days,1
736717,5,C,201612,3,3,1,20161202.0,20161202.0,-129.18,-30.58,2016-12-01,30 days,1
736717,5,C,201701,10,5,3,20170130.0,20170112.0,348.81,90.14,2017-01-01,31 days,1
736717,5,C,201702,15,9,3,20170214.0,20170206.0,233.92,58.46,2017-02-01,31 days,1
736717,5,C,201703,2,1,2,20170308.0,20170307.0,58.98,5.34,2017-03-01,28 days,1
736717,5,C,201704,10,3,1,20170410.0,20170410.0,736.28,157.94,2017-04-01,31 days,1
736717,5,C,201705,25,11,6,20170523.0,20170504.0,278.04,66.75,2017-05-01,30 days,1
736717,5,C,201706,11,5,4,20170626.0,20170612.0,728.3,242.08,2017-06-01,31 days,1
736717,5,C,201707,0,0,0,,,0.0,75.39,2017-07-01,30 days,1
736717,5,C,201708,9,2,3,20170828.0,20170809.0,934.89,178.41,2017-08-01,31 days,1
736717,5,C,201709,34,12,7,20170921.0,20170901.0,15487.83,3502.56,2017-09-01,31 days,1
736717,5,C,201710,21,7,3,20171018.0,20171006.0,758.02,190.71,2017-10-01,30 days,1
736717,5,C,201711,3,3,2,20171114.0,20171107.0,54.3,47.71,2017-11-01,31 days,1
736717,5,C,201712,6,4,1,20171213.0,20171213.0,70.5,11.17,2017-12-01,30 days,1
736717,5,C,201802,9,5,4,20180228.0,20180205.0,1598.17,692.1,2018-02-01,62 days,1
736717,5,C,201803,1,1,1,20180321.0,20180321.0,65.85,6.65,2018-03-01,28 days,1
736717,5,C,201804,3,2,1,20180416.0,20180416.0,98.32,38.28,2018-04-01,31 days,1
736717,5,C,201809,11,8,6,20180927.0,20180910.0,1230.89,254.39,2018-09-01,153 days,1
736717,5,C,201810,2,2,3,20181015.0,20181009.0,121.92,34.14,2018-10-01,30 days,1
736717,5,C,201811,9,7,4,20181127.0,20181105.0,431.82,157.61,2018-11-01,31 days,1
736717,5,C,201812,4,3,2,20181219.0,20181211.0,-14.57,-37.26,2018-12-01,30 days,1
736717,5,C,201903,1,1,1,20190319.0,20190319.0,336.32,136.98,2019-03-01,90 days,1
736717,5,C,201904,4,3,1,20190411.0,20190411.0,33.1,38.14,2019-04-01,31 days,1
736717,5,C,201905,31,12,6,20190530.0,20190508.0,3576.95,956.48,2019-05-01,30 days,1
736717,5,C,201906,2,2,1,20190606.0,20190606.0,-496.3,-264.15,2019-06-01,31 days,1
736717,5,C,201907,5,4,2,20190708.0,20190705.0,-23.77,-12.38,2019-07-01,30 days,1
736717,5,C,201909,1,1,1,20190919.0,20190919.0,123.68,48.56,2019-09-01,62 days,1
