customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
219398,6,B,201601,10,5,2,20160107.0,20160106.0,607.98,105.56,2016-01-01,,1
219398,6,B,201602,13,8,2,20160209.0,20160205.0,474.27,82.3,2016-02-01,31 days,1
219398,6,B,201603,5,3,1,20160303.0,20160303.0,536.28,94.11,2016-03-01,29 days,1
219398,6,B,201604,5,3,1,20160422.0,20160422.0,156.87,30.07,2016-04-01,31 days,1
219398,6,B,201605,7,3,2,20160518.0,20160516.0,348.37,60.21,2016-05-01,30 days,1
219398,6,B,201606,1,1,1,20160607.0,20160607.0,126.52,24.8,2016-06-01,31 days,1
219398,6,B,201607,8,6,3,20160727.0,20160707.0,422.85,79.71,2016-07-01,30 days,1
219398,6,B,201608,14,9,4,20160831.0,20160812.0,621.04,102.27,2016-08-01,31 days,1
219398,6,B,201609,21,10,6,20160930.0,20160908.0,593.09,110.87,2016-09-01,31 days,1
219398,6,B,201610,14,7,3,20161026.0,20161021.0,306.61,55.11,2016-10-01,30 days,1
219398,6,B,201612,3,3,1,20161206.0,20161206.0,616.44,115.97,2016-12-01,61 days,1
219398,6,B,201701,6,2,1,20170118.0,20170118.0,121.08,22.0,2017-01-01,31 days,1
219398,6,B,201702,25,7,4,20170223.0,20170214.0,25471.01,4860.16,2017-02-01,31 days,1
219398,6,B,201703,18,12,4,20170323.0,20170302.0,544.83,211.36,2017-03-01,28 days,1
219398,6,B,201704,13,6,4,20170412.0,20170406.0,13317.9,8225.66,2017-04-01,31 days,1
219398,6,B,201705,4,3,2,20170531.0,20170505.0,1164.69,476.87,2017-05-01,30 days,1
219398,6,B,201706,9,5,1,20170621.0,20170621.0,-12843.99,-2368.69,2017-06-01,31 days,1
219398,6,B,201711,2,1,1,20171127.0,20171127.0,588.96,150.56,2017-11-01,153 days,1
219398,6,B,201801,2,2,1,20180123.0,20180123.0,493.27,194.29,2018-01-01,61 days,1
219398,6,B,201802,4,4,1,20180201.0,20180201.0,136.33,72.87,2018-02-01,31 days,1
219398,6,B,201806,0,0,0,,,485.87,184.47,2018-06-01,120 days,1
219398,6,B,201807,6,3,2,20180710.0,20180702.0,1143.8,393.36,2018-07-01,30 days,1
219398,6,B,201808,2,2,1,20180801.0,20180801.0,-11.71,-30.08,2018-08-01,31 days,1
219398,6,B,201809,2,2,1,20180928.0,20180928.0,149.42,76.63,2018-09-01,31 days,1
219398,6,B,201811,6,4,1,20181109.0,20181109.0,479.7,176.02,2018-11-01,61 days,1
219398,6,B,201812,9,6,2,20181227.0,20181219.0,171.45,53.71,2018-12-01,30 days,1
219398,6,B,201901,6,5,3,20190123.0,20190102.0,305.08,112.59,2019-01-01,31 days,1
219398,6,B,201902,0,0,0,,,12.75,7.13,2019-02-01,31 days,1
219398,6,B,201904,6,4,1,20190404.0,20190404.0,0.0,-13.78,2019-04-01,59 days,1
219398,6,B,201907,4,3,2,20190723.0,20190709.0,177.21,62.89,2019-07-01,91 days,1
219398,6,B,201908,3,2,1,20190813.0,20190813.0,93.62,32.84,2019-08-01,31 days,1
219398,6,B,201909,4,3,2,20190916.0,20190904.0,213.76,79.5,2019-09-01,31 days,1
219398,6,B,201911,12,6,2,20191120.0,20191119.0,254.16,87.12,2019-11-01,61 days,1
