customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
616084,7,A,201601,19,4,7,20160131.0,20160111.0,9812.58,2721.86,2016-01-01,,0
616084,7,A,201602,9,6,4,20160212.0,20160202.0,3192.59,1113.82,2016-02-01,31 days,0
616084,7,A,201603,10,3,2,20160329.0,20160325.0,3773.16,848.28,2016-03-01,29 days,0
616084,7,A,201604,12,4,3,20160429.0,20160414.0,705.9,18.63,2016-04-01,31 days,0
616084,7,A,201605,1,1,1,20160504.0,20160504.0,-660.35,74.42,2016-05-01,30 days,0
616084,7,A,201606,20,7,4,20160628.0,20160614.0,4189.4,980.73,2016-06-01,31 days,0
616084,7,A,201607,3,3,2,20160720.0,20160718.0,3432.3,750.33,2016-07-01,30 days,0
616084,7,A,201608,16,7,6,20160831.0,20160803.0,2842.04,550.97,2016-08-01,31 days,0
616084,7,A,201609,9,7,4,20160921.0,20160913.0,1271.7,-663.29,2016-09-01,31 days,0
616084,7,A,201610,2,2,2,20161010.0,20161006.0,1826.6,712.42,2016-10-01,30 days,0
616084,7,A,201611,13,3,5,20161128.0,20161109.0,3360.04,1160.67,2016-11-01,31 days,0
616084,7,A,201612,4,2,2,20161214.0,20161213.0,8605.9,3774.17,2016-12-01,30 days,0
616084,7,A,201701,2,2,3,20170109.0,20170103.0,878.25,191.28,2017-01-01,31 days,0
616084,7,A,201702,18,5,7,20170223.0,20170206.0,5566.71,1191.03,2017-02-01,31 days,0
616084,7,A,201703,2,2,2,20170329.0,20170309.0,4838.3,1072.24,2017-03-01,28 days,0
616084,7,A,201704,0,0,0,,,0.0,0.0,2017-04-01,31 days,0
616084,7,A,201705,0,0,0,,,0.0,0.0,2017-05-01,30 days,0
616084,7,A,201706,0,0,0,,,0.0,0.0,2017-06-01,31 days,0
616084,7,A,201707,8,2,3,20170731.0,20170718.0,3719.0,1345.14,2017-07-01,30 days,0
616084,7,A,201708,1,1,1,20170811.0,20170811.0,300.5,103.01,2017-08-01,31 days,0
616084,7,A,201709,2,2,2,20170918.0,20170915.0,599.8,145.86,2017-09-01,31 days,0
616084,7,A,201710,16,5,5,20171017.0,20171003.0,3193.25,1222.73,2017-10-01,30 days,0
616084,7,A,201711,1,1,1,20171113.0,20171113.0,444.96,177.47,2017-11-01,31 days,0
616084,7,A,201712,18,5,4,20171214.0,20171206.0,15926.07,6433.38,2017-12-01,30 days,0
616084,7,A,201801,1,1,1,20180125.0,20180125.0,66.72,8.27,2018-01-01,31 days,0
616084,7,A,201802,1,1,1,20180220.0,20180220.0,60.41,-5.24,2018-02-01,31 days,0
616084,7,A,201803,4,1,2,20180321.0,20180309.0,680.8,147.62,2018-03-01,28 days,0
616084,7,A,201804,16,3,4,20180424.0,20180403.0,4109.38,944.45,2018-04-01,31 days,0
616084,7,A,201805,0,0,0,,,0.0,0.0,2018-05-01,30 days,0
616084,7,A,201806,1,1,1,20180626.0,20180626.0,108.08,26.48,2018-06-01,31 days,0
616084,7,A,201807,0,0,0,,,0.0,0.0,2018-07-01,30 days,0
616084,7,A,201808,2,2,2,20180814.0,20180810.0,2031.96,357.79,2018-08-01,31 days,0
616084,7,A,201809,11,6,5,20180924.0,20180913.0,4805.41,1314.39,2018-09-01,31 days,0
616084,7,A,201810,10,2,6,20181022.0,20181005.0,3887.44,799.62,2018-10-01,30 days,0
616084,7,A,201811,0,0,0,,,0.0,0.0,2018-11-01,31 days,0
616084,7,A,201812,3,2,2,20181220.0,20181206.0,526.63,104.74,2018-12-01,30 days,0
616084,7,A,201901,2,2,1,20190130.0,20190130.0,121.93,14.44,2019-01-01,31 days,0
616084,7,A,201902,4,2,4,20190222.0,20190207.0,1439.99,176.47,2019-02-01,31 days,0
616084,7,A,201903,5,4,4,20190326.0,20190307.0,425.6,61.03,2019-03-01,28 days,0
616084,7,A,201904,7,3,3,20190425.0,20190401.0,6901.67,3313.67,2019-04-01,31 days,0
616084,7,A,201905,9,4,4,20190522.0,20190502.0,18380.78,3023.21,2019-05-01,30 days,0
616084,7,A,201906,34,2,4,20190627.0,20190614.0,9608.99,2422.3,2019-06-01,31 days,0
616084,7,A,201907,19,3,3,20190719.0,20190715.0,4475.77,1097.77,2019-07-01,30 days,0
616084,7,A,201908,10,3,4,20190827.0,20190802.0,1425.6,341.49,2019-08-01,31 days,0
616084,7,A,201910,3,1,2,20191029.0,20191001.0,255.6,38.18,2019-10-01,61 days,0
616084,7,A,201911,5,2,1,20191107.0,20191107.0,752.68,164.7,2019-11-01,31 days,0
616084,7,A,201912,0,0,0,,,0.0,-15.2,2019-12-01,30 days,0
