customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
214319,3,B,201601,9,8,4,20160128.0,20160107.0,3810.34,693.59,2016-01-01,,1
214319,3,B,201602,24,9,7,20160225.0,20160201.0,1892.97,547.62,2016-02-01,31 days,1
214319,3,B,201603,6,3,3,20160322.0,20160303.0,795.55,229.02,2016-03-01,29 days,1
214319,3,B,201604,6,4,6,20160426.0,20160411.0,1578.65,379.55,2016-04-01,31 days,1
214319,3,B,201605,16,6,5,20160528.0,20160518.0,257.97,80.16,2016-05-01,30 days,1
214319,3,B,201606,25,13,9,20160630.0,20160602.0,5138.34,1673.58,2016-06-01,31 days,1
214319,3,B,201607,13,6,5,20160726.0,20160701.0,3856.54,356.71,2016-07-01,30 days,1
214319,3,B,201608,5,2,3,20160830.0,20160816.0,2153.91,1454.98,2016-08-01,31 days,1
214319,3,B,201609,18,7,7,20160929.0,20160906.0,14478.87,4172.36,2016-09-01,31 days,1
214319,3,B,201610,23,8,7,20161027.0,20161004.0,3817.56,1185.87,2016-10-01,30 days,1
214319,3,B,201611,9,6,9,20161118.0,20161102.0,4743.53,1469.04,2016-11-01,31 days,1
214319,3,B,201612,10,1,2,20161228.0,20161202.0,428.99,140.59,2016-12-01,30 days,1
214319,3,B,201701,21,12,7,20170131.0,20170104.0,1113.84,130.35,2017-01-01,31 days,1
214319,3,B,201702,7,4,4,20170221.0,20170207.0,611.68,179.63,2017-02-01,31 days,1
214319,3,B,201703,16,3,4,20170314.0,20170306.0,3031.49,854.88,2017-03-01,28 days,1
214319,3,B,201704,0,0,0,,,35.96,11.5,2017-04-01,31 days,1
214319,3,B,201705,3,3,2,20170517.0,20170509.0,432.79,142.16,2017-05-01,30 days,1
214319,3,B,201707,6,3,4,20170726.0,20170703.0,2182.5,496.4,2017-07-01,61 days,1
214319,3,B,201708,4,3,3,20170831.0,20170821.0,754.83,166.02,2017-08-01,31 days,1
214319,3,B,201709,0,0,0,,,-23.91,-23.91,2017-09-01,31 days,1
214319,3,B,201712,2,2,1,20171219.0,20171219.0,154.01,40.62,2017-12-01,91 days,1
214319,3,B,201801,1,1,1,20180110.0,20180110.0,73.1,14.16,2018-01-01,31 days,1
