customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
353655,4,A,201601,27,12,7,20160129.0,20160106.0,7696.5,1664.22,2016-01-01,,1
353655,4,A,201602,33,12,8,20160229.0,20160201.0,11801.22,3125.56,2016-02-01,31 days,1
353655,4,A,201603,24,10,7,20160325.0,20160301.0,9027.75,2562.58,2016-03-01,29 days,1
353655,4,A,201604,15,7,6,20160427.0,20160406.0,9389.85,2917.98,2016-04-01,31 days,1
353655,4,A,201605,16,6,4,20160519.0,20160503.0,5485.14,1491.48,2016-05-01,30 days,1
353655,4,A,201606,22,7,5,20160620.0,20160602.0,4867.15,1297.27,2016-06-01,31 days,1
353655,4,A,201607,36,13,1,20160722.0,20160722.0,8136.67,2133.12,2016-07-01,30 days,1
353655,4,A,201608,13,7,3,20160822.0,20160802.0,2017.74,457.65,2016-08-01,31 days,1
353655,4,A,201609,19,7,6,20160929.0,20160914.0,4957.75,1581.4,2016-09-01,31 days,1
353655,4,A,201610,20,8,8,20161031.0,20161007.0,5106.51,1491.39,2016-10-01,30 days,1
353655,4,A,201611,21,10,8,20161129.0,20161101.0,9243.15,2320.78,2016-11-01,31 days,1
353655,4,A,201612,31,13,11,20161230.0,20161207.0,17090.35,4795.65,2016-12-01,30 days,1
353655,4,A,201701,27,12,8,20170124.0,20170103.0,10196.59,2922.99,2017-01-01,31 days,1
353655,4,A,201702,19,8,12,20170227.0,20170203.0,13084.61,3488.92,2017-02-01,31 days,1
353655,4,A,201703,31,13,14,20170329.0,20170306.0,17095.31,5379.09,2017-03-01,28 days,1
353655,4,A,201704,30,8,9,20170430.0,20170403.0,8166.62,2281.75,2017-04-01,31 days,1
353655,4,A,201705,54,18,14,20170531.0,20170503.0,26846.45,8406.22,2017-05-01,30 days,1
353655,4,A,201706,5,4,4,20170627.0,20170601.0,955.32,286.32,2017-06-01,31 days,1
353655,4,A,201707,19,9,8,20170731.0,20170705.0,4152.29,1365.69,2017-07-01,30 days,1
353655,4,A,201708,28,10,8,20170831.0,20170802.0,5202.2,1557.69,2017-08-01,31 days,1
353655,4,A,201709,7,3,5,20170930.0,20170914.0,393.74,152.87,2017-09-01,31 days,1
353655,4,A,201710,14,6,4,20171019.0,20171004.0,3922.66,1355.68,2017-10-01,30 days,1
353655,4,A,201711,5,3,5,20171128.0,20171108.0,1205.03,442.39,2017-11-01,31 days,1
353655,4,A,201712,8,4,3,20171219.0,20171204.0,1158.88,416.69,2017-12-01,30 days,1
353655,4,A,201801,19,6,4,20180125.0,20180115.0,4835.98,1679.47,2018-01-01,31 days,1
353655,4,A,201802,10,8,5,20180221.0,20180206.0,1940.85,720.34,2018-02-01,31 days,1
353655,4,A,201803,4,2,5,20180326.0,20180301.0,2231.23,620.52,2018-03-01,28 days,1
353655,4,A,201804,15,5,9,20180430.0,20180404.0,6541.65,2464.37,2018-04-01,31 days,1
353655,4,A,201805,3,1,2,20180503.0,20180501.0,459.03,175.3,2018-05-01,30 days,1
353655,4,A,201806,2,2,2,20180619.0,20180604.0,547.05,142.49,2018-06-01,31 days,1
353655,4,A,201807,2,2,1,20180726.0,20180726.0,306.14,99.51,2018-07-01,30 days,1
