customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
913919,6,B,201605,1,1,1,20160505.0,20160505.0,185.43,48.64,2016-05-01,,1
913919,6,B,201606,2,1,1,20160624.0,20160624.0,348.61,158.63,2016-06-01,31 days,1
913919,6,B,201607,8,6,4,20160729.0,20160711.0,1136.65,291.49,2016-07-01,30 days,1
913919,6,B,201608,6,2,3,20160812.0,20160802.0,1680.82,218.81,2016-08-01,31 days,1
913919,6,B,201609,0,0,0,,,-51.52,-51.52,2016-09-01,31 days,1
913919,6,B,201610,7,2,2,20161020.0,20161010.0,1388.59,309.31,2016-10-01,30 days,1
913919,6,B,201611,2,2,2,20161128.0,20161114.0,253.07,144.38,2016-11-01,31 days,1
913919,6,B,201612,1,1,1,20161222.0,20161222.0,348.57,144.71,2016-12-01,30 days,1
913919,6,B,201701,3,3,3,20170118.0,20170110.0,1878.93,793.13,2017-01-01,31 days,1
913919,6,B,201702,0,0,0,,,0.0,0.0,2017-02-01,31 days,1
913919,6,B,201703,9,4,3,20170330.0,20170310.0,7917.61,751.93,2017-03-01,28 days,1
913919,6,B,201704,6,1,4,20170426.0,20170419.0,2158.14,424.9,2017-04-01,31 days,1
913919,6,B,201705,10,3,3,20170530.0,20170504.0,780.22,231.53,2017-05-01,30 days,1
913919,6,B,201706,2,2,1,20170614.0,20170614.0,-207.27,-86.72,2017-06-01,31 days,1
913919,6,B,201707,4,2,2,20170721.0,20170719.0,4189.8,1921.35,2017-07-01,30 days,1
913919,6,B,201708,2,2,3,20170818.0,20170808.0,479.63,171.61,2017-08-01,31 days,1
913919,6,B,201709,1,1,1,20170927.0,20170927.0,3775.92,975.12,2017-09-01,31 days,1
913919,6,B,201710,3,2,4,20171031.0,20171009.0,1495.28,468.11,2017-10-01,30 days,1
913919,6,B,201711,4,2,2,20171114.0,20171107.0,472.22,130.32,2017-11-01,31 days,1
913919,6,B,201801,2,2,2,20180131.0,20180104.0,89.4,89.4,2018-01-01,61 days,1
913919,6,B,201803,1,1,1,20180306.0,20180306.0,1402.26,350.71,2018-03-01,59 days,1
913919,6,B,201805,1,1,1,20180529.0,20180529.0,1250.0,250.0,2018-05-01,61 days,1
913919,6,B,201806,3,2,2,20180627.0,20180626.0,166.63,13.47,2018-06-01,31 days,1
913919,6,B,201808,2,2,1,20180810.0,20180810.0,1611.16,585.16,2018-08-01,61 days,1
913919,6,B,201811,3,1,1,20181128.0,20181128.0,284.04,93.84,2018-11-01,92 days,1
913919,6,B,201904,5,3,2,20190429.0,20190419.0,2760.41,1042.21,2019-04-01,151 days,1
913919,6,B,201905,1,1,1,20190503.0,20190503.0,256.0,104.5,2019-05-01,30 days,1
913919,6,B,201906,0,0,0,,,-45.81,-45.81,2019-06-01,31 days,1
913919,6,B,201907,0,0,0,,,-284.04,-284.04,2019-07-01,30 days,1
