customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
929336,2,B,201601,2,2,2,20160120.0,20160118.0,2288.12,521.06,2016-01-01,,1
929336,2,B,201602,3,2,1,20160226.0,20160226.0,-337.24,-59.6,2016-02-01,31 days,1
929336,2,B,201603,6,4,6,20160316.0,20160301.0,3670.79,986.38,2016-03-01,29 days,1
929336,2,B,201605,1,1,1,20160510.0,20160510.0,285.98,104.46,2016-05-01,61 days,1
929336,2,B,201606,5,3,5,20160616.0,20160601.0,4208.45,1345.59,2016-06-01,31 days,1
929336,2,B,201608,3,2,2,20160825.0,20160818.0,648.51,149.83,2016-08-01,61 days,1
929336,2,B,201609,4,3,3,20160928.0,20160919.0,475.03,111.07,2016-09-01,31 days,1
929336,2,B,201611,7,4,5,20161116.0,20161103.0,1813.46,479.46,2016-11-01,61 days,1
929336,2,B,201612,4,3,4,20161230.0,20161207.0,1045.31,287.91,2016-12-01,30 days,1
929336,2,B,201701,3,3,3,20170123.0,20170103.0,3242.4,644.52,2017-01-01,31 days,1
929336,2,B,201702,0,0,0,,,0.0,0.0,2017-02-01,31 days,1
929336,2,B,201703,5,5,5,20170327.0,20170307.0,7452.63,1138.02,2017-03-01,28 days,1
929336,2,B,201704,5,3,3,20170427.0,20170413.0,899.31,256.19,2017-04-01,31 days,1
929336,2,B,201705,5,2,2,20170508.0,20170501.0,1824.08,691.98,2017-05-01,30 days,1
929336,2,B,201706,5,3,3,20170612.0,20170605.0,1414.49,299.72,2017-06-01,31 days,1
929336,2,B,201707,18,7,6,20170728.0,20170706.0,6650.89,1734.61,2017-07-01,30 days,1
929336,2,B,201708,10,6,5,20170824.0,20170807.0,6459.86,934.48,2017-08-01,31 days,1
929336,2,B,201709,12,6,4,20170928.0,20170911.0,1992.8,176.1,2017-09-01,31 days,1
929336,2,B,201710,8,2,5,20171026.0,20171012.0,1797.8,414.71,2017-10-01,30 days,1
929336,2,B,201711,2,2,2,20171121.0,20171110.0,1044.67,224.92,2017-11-01,31 days,1
929336,2,B,201712,2,2,2,20171222.0,20171205.0,2416.61,837.7,2017-12-01,30 days,1
929336,2,B,201801,1,1,2,20180129.0,20180111.0,742.34,171.33,2018-01-01,31 days,1
929336,2,B,201802,3,2,3,20180208.0,20180201.0,371.44,88.12,2018-02-01,31 days,1
929336,2,B,201803,4,3,4,20180328.0,20180309.0,551.81,127.96,2018-03-01,28 days,1
929336,2,B,201804,3,3,3,20180412.0,20180402.0,2896.0,916.0,2018-04-01,31 days,1
929336,2,B,201805,2,1,1,20180523.0,20180523.0,362.55,68.86,2018-05-01,30 days,1
929336,2,B,201806,8,2,4,20180626.0,20180604.0,1224.51,256.4,2018-06-01,31 days,1
929336,2,B,201807,1,1,1,20180719.0,20180719.0,2152.07,1610.75,2018-07-01,30 days,1
929336,2,B,201808,4,2,2,20180823.0,20180809.0,3019.6,612.41,2018-08-01,31 days,1
929336,2,B,201809,6,2,3,20180925.0,20180914.0,1660.94,497.97,2018-09-01,31 days,1
929336,2,B,201810,2,2,2,20181029.0,20181026.0,2778.39,512.43,2018-10-01,30 days,1
929336,2,B,201811,1,1,1,20181102.0,20181102.0,3737.84,1121.36,2018-11-01,31 days,1
929336,2,B,201812,1,1,1,20181221.0,20181221.0,-1954.34,-1562.87,2018-12-01,30 days,1
929336,2,B,201901,2,2,2,20190128.0,20190124.0,1475.53,434.22,2019-01-01,31 days,1
929336,2,B,201902,7,1,5,20190228.0,20190208.0,918.22,254.96,2019-02-01,31 days,1
929336,2,B,201903,10,2,8,20190329.0,20190301.0,12471.52,2624.08,2019-03-01,28 days,1
929336,2,B,201904,9,1,5,20190429.0,20190404.0,1869.38,438.93,2019-04-01,31 days,1
929336,2,B,201905,4,1,2,20190514.0,20190501.0,981.12,326.9,2019-05-01,30 days,1
929336,2,B,201906,2,2,1,20190610.0,20190610.0,102.8,33.3,2019-06-01,31 days,1
929336,2,B,201907,0,0,0,,,0.0,0.0,2019-07-01,30 days,1
929336,2,B,201908,2,1,1,20190826.0,20190826.0,-446.6,-507.7,2019-08-01,31 days,1
929336,2,B,201909,0,0,0,,,0.0,0.0,2019-09-01,31 days,1
929336,2,B,201911,2,1,1,20191113.0,20191113.0,521.43,399.37,2019-11-01,61 days,1
