customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
731090,2,A,201601,1,1,1,20160121.0,20160121.0,14.82,5.08,2016-01-01,,1
731090,2,A,201604,0,0,0,,,314.28,111.04,2016-04-01,91 days,1
731090,2,A,201605,11,5,5,20160525.0,20160512.0,4523.74,1238.92,2016-05-01,30 days,1
731090,2,A,201606,12,4,6,20160627.0,20160607.0,6553.64,4552.08,2016-06-01,31 days,1
731090,2,A,201607,15,9,3,20160728.0,20160701.0,-1578.77,-3173.18,2016-07-01,30 days,1
731090,2,A,201608,3,2,1,20160808.0,20160808.0,90.32,28.82,2016-08-01,31 days,1
731090,2,A,201609,13,6,5,20160930.0,20160901.0,3528.27,1452.35,2016-09-01,31 days,1
731090,2,A,201610,1,1,1,20161031.0,20161031.0,6740.7,1259.19,2016-10-01,30 days,1
731090,2,A,201611,5,3,4,20161123.0,20161107.0,853.31,329.21,2016-11-01,31 days,1
731090,2,A,201612,5,4,2,20161228.0,20161206.0,1453.35,296.06,2016-12-01,30 days,1
731090,2,A,201701,14,8,2,20170118.0,20170110.0,2195.53,537.24,2017-01-01,31 days,1
731090,2,A,201702,7,2,3,20170213.0,20170201.0,3888.75,1117.37,2017-02-01,31 days,1
731090,2,A,201703,11,6,4,20170328.0,20170307.0,2462.09,913.96,2017-03-01,28 days,1
731090,2,A,201704,19,3,7,20170428.0,20170404.0,1577.65,488.82,2017-04-01,31 days,1
731090,2,A,201705,34,12,8,20170524.0,20170502.0,4553.65,1268.59,2017-05-01,30 days,1
731090,2,A,201706,7,4,2,20170629.0,20170623.0,460.44,107.37,2017-06-01,31 days,1
731090,2,A,201707,1,1,2,20170731.0,20170724.0,2765.0,533.81,2017-07-01,30 days,1
731090,2,A,201708,2,2,5,20170822.0,20170801.0,4572.66,916.53,2017-08-01,31 days,1
731090,2,A,201709,2,2,1,20170928.0,20170928.0,176.44,57.98,2017-09-01,31 days,1
731090,2,A,201710,2,1,1,20171010.0,20171010.0,258.74,57.56,2017-10-01,30 days,1
731090,2,A,201711,7,7,3,20171117.0,20171102.0,262.48,93.97,2017-11-01,31 days,1
731090,2,A,201712,5,2,1,20171220.0,20171220.0,2551.26,1051.19,2017-12-01,30 days,1
731090,2,A,201801,4,4,2,20180129.0,20180116.0,344.62,129.27,2018-01-01,31 days,1
731090,2,A,201802,3,2,2,20180214.0,20180202.0,223.96,-35.89,2018-02-01,31 days,1
731090,2,A,201803,1,1,1,20180323.0,20180323.0,346.34,138.84,2018-03-01,28 days,1
731090,2,A,201805,3,1,1,20180511.0,20180511.0,1046.58,269.66,2018-05-01,61 days,1
731090,2,A,201806,2,1,1,20180629.0,20180629.0,239.22,85.17,2018-06-01,31 days,1
731090,2,A,201807,4,2,1,20180712.0,20180712.0,902.75,247.27,2018-07-01,30 days,1
731090,2,A,201809,1,1,1,20180924.0,20180924.0,678.82,157.64,2018-09-01,62 days,1
731090,2,A,201810,1,1,1,20181024.0,20181024.0,96.8,33.01,2018-10-01,30 days,1
731090,2,A,201811,7,2,3,20181128.0,20181115.0,447.22,125.68,2018-11-01,31 days,1
731090,2,A,201902,2,1,2,20190221.0,20190205.0,140.75,47.55,2019-02-01,92 days,1
731090,2,A,201903,9,2,3,20190325.0,20190301.0,1169.07,166.55,2019-03-01,28 days,1
731090,2,A,201905,7,4,2,20190521.0,20190503.0,853.96,363.86,2019-05-01,61 days,1
731090,2,A,201906,3,1,1,20190619.0,20190619.0,240.0,44.35,2019-06-01,31 days,1
731090,2,A,201907,1,1,1,20190723.0,20190723.0,237.6,77.7,2019-07-01,30 days,1
731090,2,A,201908,1,1,1,20190807.0,20190807.0,1270.3,1098.69,2019-08-01,31 days,1
731090,2,A,201909,12,3,2,20190930.0,20190923.0,2357.86,839.09,2019-09-01,31 days,1
731090,2,A,201910,4,2,1,20191007.0,20191007.0,60.66,22.07,2019-10-01,30 days,1
