customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
340587,2,B,201601,2,2,2,20160118.0,20160108.0,63.24,25.96,2016-01-01,,0
340587,2,B,201603,4,2,3,20160323.0,20160307.0,827.54,310.85,2016-03-01,60 days,0
340587,2,B,201604,1,1,1,20160429.0,20160429.0,290.05,132.49,2016-04-01,31 days,0
340587,2,B,201605,5,3,1,20160526.0,20160526.0,791.76,208.71,2016-05-01,30 days,0
340587,2,B,201606,1,1,1,20160620.0,20160620.0,1563.23,484.69,2016-06-01,31 days,0
340587,2,B,201607,8,6,1,20160726.0,20160726.0,758.08,275.45,2016-07-01,30 days,0
340587,2,B,201608,1,1,1,20160801.0,20160801.0,176.44,72.71,2016-08-01,31 days,0
340587,2,B,201609,11,5,4,20160913.0,20160907.0,1691.56,527.91,2016-09-01,31 days,0
340587,2,B,201702,14,8,3,20170228.0,20170206.0,1164.73,295.23,2017-02-01,153 days,0
340587,2,B,201703,12,10,6,20170327.0,20170301.0,1370.37,475.32,2017-03-01,28 days,0
340587,2,B,201708,2,2,1,20170803.0,20170803.0,16551.91,4001.2,2017-08-01,153 days,0
340587,2,B,201801,1,1,1,20180126.0,20180126.0,1722.0,382.3,2018-01-01,153 days,0
340587,2,B,201804,1,1,1,20180420.0,20180420.0,238.0,52.7,2018-04-01,90 days,0
340587,2,B,201811,2,1,1,20181126.0,20181126.0,385.69,110.33,2018-11-01,214 days,0
340587,2,B,201902,5,3,3,20190213.0,20190208.0,994.82,288.66,2019-02-01,92 days,0
340587,2,B,201903,7,5,1,20190319.0,20190319.0,417.82,136.86,2019-03-01,28 days,0
340587,2,B,201904,1,1,1,20190404.0,20190404.0,273.57,93.85,2019-04-01,31 days,0
340587,2,B,201908,1,1,1,20190823.0,20190823.0,323.43,114.21,2019-08-01,122 days,0
340587,2,B,201909,1,1,2,20190918.0,20190906.0,1630.68,350.98,2019-09-01,31 days,0
340587,2,B,201910,0,0,0,,,-1584.0,-341.64,2019-10-01,30 days,0
340587,2,B,201911,0,0,0,,,0.0,46.6,2019-11-01,31 days,0
