customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
86969,5,B,201601,45,15,12,20160129.0,20160105.0,36361.49,3289.74,2016-01-01,,0
86969,5,B,201602,25,10,13,20160229.0,20160201.0,33380.44,5957.97,2016-02-01,31 days,0
86969,5,B,201603,39,9,14,20160328.0,20160301.0,45160.78,5091.83,2016-03-01,29 days,0
86969,5,B,201604,26,7,11,20160428.0,20160406.0,46817.13,3851.17,2016-04-01,31 days,0
86969,5,B,201605,26,10,7,20160531.0,20160503.0,18818.85,7711.62,2016-05-01,30 days,0
86969,5,B,201606,93,19,15,20160630.0,20160601.0,218466.3,22433.03,2016-06-01,31 days,0
86969,5,B,201607,32,13,9,20160729.0,20160705.0,22743.94,1467.33,2016-07-01,30 days,0
86969,5,B,201608,46,17,17,20160831.0,20160801.0,66625.1,8021.51,2016-08-01,31 days,0
86969,5,B,201609,54,17,12,20160929.0,20160901.0,36513.3,5877.45,2016-09-01,31 days,0
86969,5,B,201610,72,16,17,20161031.0,20161003.0,88491.5,9965.54,2016-10-01,30 days,0
86969,5,B,201611,60,19,15,20161130.0,20161101.0,59116.34,6950.69,2016-11-01,31 days,0
86969,5,B,201612,47,14,15,20161230.0,20161201.0,26796.13,3839.98,2016-12-01,30 days,0
86969,5,B,201701,44,13,10,20170130.0,20170105.0,11967.6,1884.53,2017-01-01,31 days,0
86969,5,B,201702,23,9,8,20170227.0,20170201.0,4666.72,508.01,2017-02-01,31 days,0
86969,5,B,201703,24,11,9,20170331.0,20170302.0,11293.54,2011.04,2017-03-01,28 days,0
86969,5,B,201704,13,8,8,20170420.0,20170404.0,17107.59,3304.71,2017-04-01,31 days,0
86969,5,B,201705,39,18,11,20170526.0,20170501.0,7047.65,1468.23,2017-05-01,30 days,0
86969,5,B,201706,22,10,8,20170629.0,20170601.0,24289.29,5059.43,2017-06-01,31 days,0
86969,5,B,201707,24,14,7,20170731.0,20170703.0,7263.77,930.49,2017-07-01,30 days,0
86969,5,B,201708,42,19,9,20170829.0,20170803.0,124895.5,10012.26,2017-08-01,31 days,0
86969,5,B,201709,31,7,10,20170930.0,20170906.0,31060.46,3399.73,2017-09-01,31 days,0
86969,5,B,201710,24,15,6,20171017.0,20171002.0,4621.44,765.38,2017-10-01,30 days,0
86969,5,B,201711,21,13,8,20171128.0,20171101.0,57.61,175.18,2017-11-01,31 days,0
86969,5,B,201712,70,25,10,20171227.0,20171205.0,56640.15,8291.14,2017-12-01,30 days,0
86969,5,B,201801,27,10,10,20180131.0,20180103.0,16880.03,2380.32,2018-01-01,31 days,0
86969,5,B,201802,5,5,2,20180220.0,20180201.0,112.15,73.65,2018-02-01,31 days,0
86969,5,B,201803,15,7,6,20180330.0,20180301.0,68802.51,5857.47,2018-03-01,28 days,0
86969,5,B,201804,26,16,8,20180423.0,20180403.0,11024.93,1480.3,2018-04-01,31 days,0
86969,5,B,201805,18,6,10,20180531.0,20180501.0,29753.85,2603.7,2018-05-01,30 days,0
86969,5,B,201806,20,14,10,20180629.0,20180601.0,32732.61,2262.48,2018-06-01,31 days,0
86969,5,B,201807,47,13,14,20180731.0,20180702.0,89089.36,10167.66,2018-07-01,30 days,0
86969,5,B,201808,29,13,12,20180831.0,20180801.0,8083.7,1161.6,2018-08-01,31 days,0
86969,5,B,201809,36,20,12,20180927.0,20180905.0,9776.23,1747.36,2018-09-01,31 days,0
86969,5,B,201810,27,13,10,20181031.0,20181001.0,20912.91,1877.51,2018-10-01,30 days,0
86969,5,B,201811,27,11,11,20181130.0,20181102.0,43997.35,4354.43,2018-11-01,31 days,0
86969,5,B,201812,15,8,4,20181227.0,20181204.0,1478.26,374.87,2018-12-01,30 days,0
86969,5,B,201901,23,14,11,20190131.0,20190102.0,4641.67,279.2,2019-01-01,31 days,0
86969,5,B,201902,72,29,6,20190228.0,20190205.0,16447.95,2582.85,2019-02-01,31 days,0
86969,5,B,201903,51,19,12,20190329.0,20190304.0,65130.44,5551.46,2019-03-01,28 days,0
86969,5,B,201904,100,32,15,20190430.0,20190401.0,101592.0,10197.49,2019-04-01,31 days,0
86969,5,B,201905,79,17,15,20190531.0,20190501.0,52665.23,7233.75,2019-05-01,30 days,0
86969,5,B,201906,78,25,12,20190627.0,20190604.0,43398.51,4419.25,2019-06-01,31 days,0
86969,5,B,201907,68,15,16,20190731.0,20190701.0,21912.63,3852.08,2019-07-01,30 days,0
86969,5,B,201908,141,33,18,20190829.0,20190801.0,51246.78,5760.7,2019-08-01,31 days,0
86969,5,B,201909,84,23,14,20190930.0,20190904.0,25360.32,3093.42,2019-09-01,31 days,0
86969,5,B,201910,89,36,17,20191031.0,20191001.0,65280.4,6907.79,2019-10-01,30 days,0
86969,5,B,201911,63,20,12,20191126.0,20191101.0,29512.82,3059.61,2019-11-01,31 days,0
86969,5,B,201912,118,28,16,20191231.0,20191202.0,85649.16,10455.17,2019-12-01,30 days,0
