customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
910073,4,B,201601,4,2,1,20160115.0,20160115.0,75.99,24.79,2016-01-01,,0
910073,4,B,201603,22,7,5,20160331.0,20160301.0,5215.99,2571.78,2016-03-01,60 days,0
910073,4,B,201604,2,1,1,20160428.0,20160428.0,183.0,51.14,2016-04-01,31 days,0
910073,4,B,201607,8,5,4,20160725.0,20160720.0,1215.08,475.12,2016-07-01,91 days,0
910073,4,B,201608,17,7,7,20160831.0,20160804.0,8227.78,4232.01,2016-08-01,31 days,0
910073,4,B,201609,3,2,3,20160930.0,20160908.0,202.27,89.83,2016-09-01,31 days,0
910073,4,B,201610,4,2,3,20161017.0,20161003.0,2605.02,1450.74,2016-10-01,30 days,0
910073,4,B,201701,33,8,6,20170126.0,20170106.0,8178.91,3483.01,2017-01-01,92 days,0
910073,4,B,201702,3,2,3,20170220.0,20170201.0,1436.37,778.62,2017-02-01,31 days,0
910073,4,B,201703,12,6,4,20170329.0,20170317.0,3643.08,1880.27,2017-03-01,28 days,0
910073,4,B,201705,0,0,0,,,-23.25,-23.25,2017-05-01,61 days,0
910073,4,B,201706,10,6,4,20170629.0,20170615.0,3988.05,1946.55,2017-06-01,31 days,0
910073,4,B,201709,6,3,3,20170919.0,20170901.0,671.39,312.71,2017-09-01,92 days,0
910073,4,B,201710,4,2,2,20171030.0,20171018.0,523.33,238.3,2017-10-01,30 days,0
910073,4,B,201711,1,1,1,20171101.0,20171101.0,582.38,340.58,2017-11-01,31 days,0
910073,4,B,201712,1,1,1,20171218.0,20171218.0,44.72,18.34,2017-12-01,30 days,0
910073,4,B,201802,7,4,3,20180226.0,20180209.0,2013.85,1036.72,2018-02-01,62 days,0
910073,4,B,201803,6,4,1,20180322.0,20180322.0,473.73,185.82,2018-03-01,28 days,0
910073,4,B,201804,3,2,2,20180413.0,20180406.0,1947.44,1212.28,2018-04-01,31 days,0
910073,4,B,201806,11,5,3,20180622.0,20180612.0,2874.19,1555.75,2018-06-01,61 days,0
910073,4,B,201807,1,1,1,20180731.0,20180731.0,142.41,35.57,2018-07-01,30 days,0
910073,4,B,201808,7,5,2,20180823.0,20180820.0,1061.31,264.14,2018-08-01,31 days,0
910073,4,B,201809,14,8,8,20180926.0,20180904.0,3064.34,1134.73,2018-09-01,31 days,0
910073,4,B,201810,6,3,3,20181018.0,20181016.0,1160.73,454.62,2018-10-01,30 days,0
910073,4,B,201811,5,5,2,20181130.0,20181106.0,349.32,106.05,2018-11-01,31 days,0
910073,4,B,201812,2,1,1,20181219.0,20181219.0,1036.81,532.46,2018-12-01,30 days,0
910073,4,B,201901,2,2,1,20190118.0,20190118.0,144.61,86.06,2019-01-01,31 days,0
910073,4,B,201902,1,1,1,20190204.0,20190204.0,4.24,0.74,2019-02-01,31 days,0
910073,4,B,201905,1,1,1,20190528.0,20190528.0,769.66,371.44,2019-05-01,89 days,0
910073,4,B,201906,17,8,6,20190628.0,20190603.0,2954.52,1223.05,2019-06-01,31 days,0
910073,4,B,201907,1,1,1,20190716.0,20190716.0,220.46,100.79,2019-07-01,30 days,0
910073,4,B,201908,5,3,4,20190820.0,20190805.0,1718.91,674.1,2019-08-01,31 days,0
910073,4,B,201911,4,2,1,20191101.0,20191101.0,459.73,194.93,2019-11-01,92 days,0
910073,4,B,201912,4,2,3,20191212.0,20191203.0,495.3,165.34,2019-12-01,30 days,0
