,Num_Prob,Y,,THRESHOLD,,,CONFUSION MATRIX,,
181,0.760478148,1,,,,,,,
182,0.024923716,0,,,,,,,
183,0.810888032,1,,,,,,,
184,0.001986252,1,,,,,,,
185,0.636070018,0,,,,,,,
186,0.81593581,1,,,,,,,
187,0.810581474,1,,,,,,,
188,0.735749943,1,,,,,,,
189,0.798553781,0,,,,,,,
190,0.357736054,0,,,,,,,
191,0.812798744,1,,,,,,,
192,0.817954419,0,,,,,,,
193,0.146332153,0,,,,,,,
194,1.38E-05,0,,,,,,,
195,0.673498026,1,,,,,,,
196,0.107692982,1,,,,,,,
197,0.772071577,1,,,,,,,
198,0.035824655,0,,,,,,,
199,0.820017262,0,,,,,,,
200,0.667429733,0,,,,,,,
201,0.64805033,1,,,,,,,
202,0.81201673,0,,,,,,,
203,0.147656309,0,,,,,,,
204,0.794392032,0,,,,,,,
205,0.807223801,0,,,,,,,
206,0.000374216,0,,,,,,,
207,0.743734902,0,,,,,,,
208,8.54E-05,0,,,,,,,
209,0.577957129,0,,,,,,,
210,0.080037374,1,,,,,,,
211,0.817693345,1,,,,,,,
212,0.762970219,1,,,,,,,
213,0.642295845,0,,,,,,,
214,0.816928174,0,,,,,,,
215,0.819093654,0,,,,,,,
216,0.811731118,0,,,,,,,
217,0.790422707,0,,,,,,,
218,0.819130981,0,,,,,,,
219,0.667373811,0,,,,,,,
220,0.814202284,1,,,,,,,
221,0.804752605,1,,,,,,,
222,0.813821209,0,,,,,,,
223,0.728649274,0,,,,,,,
224,0.804547012,0,,,,,,,
225,0.000659685,1,,,,,,,
226,7.44E-14,0,,,,,,,
227,0.806336092,0,,,,,,,
228,0.812798744,1,,,,,,,
229,0.787925731,1,,,,,,,
230,0.811651759,1,,,,,,,
231,0.817433886,0,,,,,,,
232,0.811003903,1,,,,,,,
233,0.795369254,1,,,,,,,
234,0.815296553,1,,,,,,,
235,0.811918519,0,,,,,,,
236,0.811003903,1,,,,,,,
237,0.719742806,1,,,,,,,
238,0.115711798,1,,,,,,,
239,0.816848555,0,,,,,,,
240,0.794520462,1,,,,,,,
241,0.811145516,1,,,,,,,
242,0.811278888,1,,,,,,,
243,0.0889945,1,,,,,,,
244,0.800050839,0,,,,,,,
245,0.000310804,0,,,,,,,
246,0.721791803,1,,,,,,,
247,0.81593581,1,,,,,,,
248,0.800050839,1,,,,,,,
249,0.821996285,1,,,,,,,
250,0.091395455,1,,,,,,,
251,0.804821415,1,,,,,,,
252,0.759844357,1,,,,,,,
253,0.682622897,0,,,,,,,
254,0.807489508,0,,,,,,,
255,0.811003903,0,,,,,,,
256,5.98E-05,1,,,,,,,
257,0.000459161,0,,,,,,,
258,0.766473223,0,,,,,,,
259,0.811812929,0,,,,,,,
260,0.522577863,1,,,,,,,
261,0.792743877,0,,,,,,,
262,0.817711454,1,,,,,,,
263,0.810888032,0,,,,,,,
264,0.811782568,0,,,,,,,
265,0.769508716,0,,,,,,,
266,0.796026652,0,,,,,,,
267,0.788844529,0,,,,,,,
268,0.63322696,0,,,,,,,
269,0.812084748,1,,,,,,,
270,0.80821684,1,,,,,,,
271,0.796755521,0,,,,,,,
272,0.817899139,0,,,,,,,
273,0.811533264,0,,,,,,,
274,0.546003795,0,,,,,,,
275,6.61E-34,0,,,,,,,
276,0.793168525,0,,,,,,,
277,0.274838618,1,,,,,,,
278,0.36365543,0,,,,,,,
279,0.81593581,1,,,,,,,
280,1.68E-07,1,,,,,,,
281,0.640071122,0,,,,,,,
282,0.815201877,1,,,,,,,
283,0.800037847,0,,,,,,,
284,0.770083924,0,,,,,,,
285,6.96E-11,0,,,,,,,
286,0.810581474,1,,,,,,,
287,0.818550831,1,,,,,,,
288,0.455743291,1,,,,,,,
289,0.762630245,1,,,,,,,
290,0.231170205,0,,,,,,,
291,0.812798744,0,,,,,,,
292,0.810369667,1,,,,,,,
293,0.809861,1,,,,,,,
294,0.808591322,0,,,,,,,
295,0.73445217,1,,,,,,,
296,0.505556023,1,,,,,,,
297,0.21590891,1,,,,,,,
298,0.804821415,0,,,,,,,
299,0.097835113,0,,,,,,,
300,0.616708705,1,,,,,,,
301,0.816816355,0,,,,,,,
302,0.552790899,0,,,,,,,
303,0.000850643,1,,,,,,,
304,4.36E-33,0,,,,,,,
305,0.415631197,1,,,,,,,
306,0.071743627,1,,,,,,,
307,0.576258801,0,,,,,,,
308,0.792595092,0,,,,,,,
309,0.068808521,1,,,,,,,
310,0.724861066,1,,,,,,,
311,0.814202284,1,,,,,,,
312,0.814838743,0,,,,,,,
313,1.89E-12,1,,,,,,,
314,0.813589124,0,,,,,,,
315,0.776931002,1,,,,,,,
316,0.813836332,1,,,,,,,
317,0.817055165,1,,,,,,,
318,0.804547012,0,,,,,,,
319,0.816778657,0,,,,,,,
320,0.037041651,0,,,,,,,
321,8.52E-18,0,,,,,,,
322,0.757041712,1,,,,,,,
323,0.715537857,1,,,,,,,
324,0.247449636,1,,,,,,,
325,0.077376163,1,,,,,,,
326,0.769553396,0,,,,,,,
327,0.820307266,1,,,,,,,
328,0.769244256,1,,,,,,,
329,4.39E-05,0,,,,,,,
330,0.822599215,1,,,,,,,
331,0.5416994,0,,,,,,,
332,0.810369667,1,,,,,,,
333,0.811731118,0,,,,,,,
334,0.808338789,0,,,,,,,
335,0.790008364,0,,,,,,,
336,1.08E-15,1,,,,,,,
337,0.728599461,1,,,,,,,
338,2.36E-06,1,,,,,,,
339,0.806778816,0,,,,,,,
340,0.811596039,0,,,,,,,
341,0.81527922,0,,,,,,,
342,0.811003903,1,,,,,,,
343,0.812033904,0,,,,,,,
344,0.038072479,0,,,,,,,
345,0.002131037,1,,,,,,,
346,0.811731118,1,,,,,,,
347,0.813191929,0,,,,,,,
348,0.804940109,1,,,,,,,
349,0.824495653,1,,,,,,,
350,0.795615739,0,,,,,,,
351,0.40615025,0,,,,,,,
352,0.544121737,0,,,,,,,
353,0.811613243,1,,,,,,,
354,0.811613243,1,,,,,,,
355,0.810369667,0,,,,,,,
356,0.774984082,0,,,,,,,
357,0.329780395,0,,,,,,,
358,0.672626496,0,,,,,,,
359,0.815690758,1,,,,,,,
360,0.819389506,0,,,,,,,
361,4.38E-05,0,,,,,,,
362,0.734140718,1,,,,,,,
363,0.819501327,1,,,,,,,
364,0.678462282,1,,,,,,,
365,0.778185522,0,,,,,,,
366,0.004087573,0,,,,,,,
367,0.786627703,0,,,,,,,
368,0.000137549,0,,,,,,,
369,0.422220316,0,,,,,,,
370,0.794677054,0,,,,,,,
371,0.821472554,0,,,,,,,
372,0.786632652,0,,,,,,,
373,0.816816355,1,,,,,,,
374,0.78386174,1,,,,,,,
375,0.806336092,0,,,,,,,
376,0.792470823,0,,,,,,,
377,0.576432976,1,,,,,,,
378,4.43E-06,0,,,,,,,
379,0.810581474,0,,,,,,,
380,0.625099726,1,,,,,,,
381,0.764924685,1,,,,,,,
382,0.806778816,1,,,,,,,
383,0.105715,1,,,,,,,
384,0.642295845,1,,,,,,,
385,0.003346123,0,,,,,,,
386,0.811731118,1,,,,,,,
387,0.810620151,1,,,,,,,
388,6.40E-06,0,,,,,,,
389,0.738613612,0,,,,,,,
390,0.813780087,0,,,,,,,
391,0.816816355,0,,,,,,,
392,0.795739909,0,,,,,,,
393,0.785844881,0,,,,,,,
394,0.09495602,1,,,,,,,
395,0.786632652,1,,,,,,,
396,0.817077449,0,,,,,,,
397,0.821996285,0,,,,,,,
398,0.81395545,0,,,,,,,
399,0.75501882,0,,,,,,,
400,0.771879896,1,,,,,,,
401,0.012978464,0,,,,,,,
402,0.757677749,0,,,,,,,
403,0.662285502,1,,,,,,,
404,0.296523591,0,,,,,,,
405,5.91E-15,1,,,,,,,
406,0.806336092,0,,,,,,,
407,0.811731118,0,,,,,,,
408,0.68389371,0,,,,,,,
409,0.000284944,1,,,,,,,
410,0.812798744,1,,,,,,,
411,0.808591322,0,,,,,,,
412,0.80391955,1,,,,,,,
413,0.794520462,1,,,,,,,
414,1.53E-06,0,,,,,,,
415,0.817190382,0,,,,,,,
416,0.733736035,0,,,,,,,
417,2.43E-05,0,,,,,,,
418,0.578264352,1,,,,,,,
419,0.803762009,1,,,,,,,
420,0.789879778,0,,,,,,,
421,0.787884687,1,,,,,,,
422,0.81395545,0,,,,,,,
423,0.419280807,1,,,,,,,
424,0.794520462,1,,,,,,,
425,0.803955332,0,,,,,,,
426,0.815460474,1,,,,,,,
427,0.004160452,1,,,,,,,
428,0.817077449,1,,,,,,,
429,0.00205447,1,,,,,,,
430,0.002041349,0,,,,,,,
431,0.773196204,0,,,,,,,
432,0.7875917,1,,,,,,,
433,0.817022587,1,,,,,,,
434,0.811731118,0,,,,,,,
435,0.787633842,0,,,,,,,
436,0.820307266,1,,,,,,,
437,0.819181278,0,,,,,,,
438,0.806336092,0,,,,,,,
439,0.022083357,0,,,,,,,
440,0.053093186,0,,,,,,,
441,0.001986252,1,,,,,,,
442,0.000496244,1,,,,,,,
443,0.433316723,1,,,,,,,
444,0.816816355,0,,,,,,,
445,0.812550475,0,,,,,,,
446,0.61233726,0,,,,,,,
447,0.001405958,1,,,,,,,
448,0.811918519,1,,,,,,,
449,0.792595092,0,,,,,,,
450,0.811918519,1,,,,,,,
451,0.817190382,1,,,,,,,
452,0.614223368,0,,,,,,,
453,0.807309511,0,,,,,,,
454,0.816230446,1,,,,,,,
455,0.81267842,0,,,,,,,
456,0.810581474,0,,,,,,,
457,0.81395545,0,,,,,,,
458,0.816778657,0,,,,,,,
459,0.814838743,1,,,,,,,
460,0.806336092,1,,,,,,,
461,0.142715594,0,,,,,,,
462,0.820017262,0,,,,,,,
463,0.810581474,1,,,,,,,
464,0.804313602,0,,,,,,,
465,0.002208325,0,,,,,,,
466,0.235614428,0,,,,,,,
467,6.21E-19,1,,,,,,,
468,0.781932296,0,,,,,,,
469,0.812798744,0,,,,,,,
470,0.817190382,1,,,,,,,
471,0.757041712,0,,,,,,,
472,3.48E-11,0,,,,,,,
473,0.355421294,0,,,,,,,
474,0.818939588,0,,,,,,,
475,0.792595092,0,,,,,,,
476,0.793823,0,,,,,,,
477,0.789260556,1,,,,,,,
478,0.002975213,1,,,,,,,
479,0.00068857,0,,,,,,,
480,0.465530756,1,,,,,,,
481,0.818939588,0,,,,,,,
482,1.62E-07,1,,,,,,,
483,1.77E-15,1,,,,,,,
484,0.822587363,1,,,,,,,
485,0.81593581,0,,,,,,,
486,3.74E-05,0,,,,,,,
487,0.817077449,1,,,,,,,
488,0.617743061,1,,,,,,,
489,0.813589124,0,,,,,,,
490,0.810019034,0,,,,,,,
491,0.728511659,0,,,,,,,
492,0.457376031,0,,,,,,,
493,0.7875917,0,,,,,,,
494,0.820307266,1,,,,,,,
495,0.814202284,0,,,,,,,
496,8.62E-11,0,,,,,,,
497,0.338323643,0,,,,,,,
498,0.811731118,1,,,,,,,
499,0.813589124,0,,,,,,,
500,0.816811269,1,,,,,,,
501,0.424444237,0,,,,,,,
502,0.805995252,1,,,,,,,
503,0.812798744,1,,,,,,,
504,0.760478148,0,,,,,,,
505,0.003825015,0,,,,,,,
506,0.804956345,1,,,,,,,
507,0.810581474,0,,,,,,,
508,0.764362989,1,,,,,,,
509,1.40E-22,0,,,,,,,
510,0.793839636,1,,,,,,,
511,0.820203095,1,,,,,,,
512,0.433079636,0,,,,,,,
513,0.815410337,1,,,,,,,
514,0.763128361,0,,,,,,,
515,4.18E-08,1,,,,,,,
516,0.00013649,1,,,,,,,
517,0.151444724,0,,,,,,,
518,8.26E-05,0,,,,,,,
519,0.817899139,1,,,,,,,
520,0.000366841,0,,,,,,,
521,0.81593581,1,,,,,,,
522,0.81832569,0,,,,,,,
523,0.461374329,0,,,,,,,
524,0.417822178,0,,,,,,,
525,0.817711454,0,,,,,,,
526,0.812740949,0,,,,,,,
527,0.817060246,1,,,,,,,
528,0.000156933,1,,,,,,,
529,0.371794268,1,,,,,,,
530,0.811533264,0,,,,,,,
531,0.667373811,0,,,,,,,
532,0.79218354,0,,,,,,,
533,0.79218354,0,,,,,,,
534,0.005950953,1,,,,,,,
535,0.324876517,0,,,,,,,
536,0.812798744,0,,,,,,,
537,0.807695995,0,,,,,,,
538,0.716154368,0,,,,,,,
539,0.78563306,0,,,,,,,
540,0.788934383,0,,,,,,,
541,0.792142062,1,,,,,,,
542,0.151183416,0,,,,,,,
543,6.16E-06,0,,,,,,,
544,0.806647882,1,,,,,,,
545,0.811782568,1,,,,,,,
546,0.000182223,0,,,,,,,
547,0.673502242,1,,,,,,,
548,0.209534317,1,,,,,,,
549,0.809296923,1,,,,,,,
550,0.805916029,1,,,,,,,
551,7.75E-05,0,,,,,,,
552,0.824259542,0,,,,,,,
553,0.046151589,1,,,,,,,
554,0.647697425,0,,,,,,,
555,0.811003903,0,,,,,,,
556,1.15E-17,0,,,,,,,
557,0.763859892,0,,,,,,,
558,0.820307266,1,,,,,,,
559,0.71381071,1,,,,,,,
560,0.786894316,0,,,,,,,
561,0.511357473,1,,,,,,,
562,0.806375429,0,,,,,,,
563,0.815241277,1,,,,,,,
564,0.810581474,0,,,,,,,
565,0.537250556,0,,,,,,,
566,0.814202284,0,,,,,,,
567,0.822587363,1,,,,,,,
568,0.78919222,0,,,,,,,
569,1.62E-08,1,,,,,,,
570,0.000986954,0,,,,,,,
571,0.810895565,1,,,,,,,
572,0.816816355,0,,,,,,,
573,0.812033904,1,,,,,,,
574,0.146738836,0,,,,,,,
575,0.812740949,0,,,,,,,
576,0.818939588,1,,,,,,,
577,0.810019034,1,,,,,,,
578,0.812550475,0,,,,,,,
579,0.767151456,0,,,,,,,
580,0.816811269,0,,,,,,,
581,2.20E-16,1,,,,,,,
582,0.000832695,0,,,,,,,
583,0.810330951,0,,,,,,,
584,0.794902312,0,,,,,,,
585,0.81717195,0,,,,,,,
586,0.811613243,1,,,,,,,
587,0.796710493,1,,,,,,,
588,0.804956345,1,,,,,,,
589,0.811651759,0,,,,,,,
590,0.010882759,0,,,,,,,
591,0.330531992,0,,,,,,,
592,3.60E-07,1,,,,,,,
593,0.136393601,0,,,,,,,
594,0.806765732,1,,,,,,,
595,0.537935073,1,,,,,,,
596,1.51E-08,1,,,,,,,
597,0.817077449,0,,,,,,,
598,0.81527922,0,,,,,,,
599,0.770837168,0,,,,,,,
600,0.812549166,0,,,,,,,
601,0.600087438,0,,,,,,,
602,0.805388307,1,,,,,,,
603,0.732629407,1,,,,,,,
604,0.79151123,0,,,,,,,
605,0.572367811,0,,,,,,,
606,0.819130981,1,,,,,,,
607,0.801995132,0,,,,,,,
608,0.81593581,0,,,,,,,
609,0.804547012,1,,,,,,,
610,0.80052197,0,,,,,,,
611,0.761903624,1,,,,,,,
612,2.73E-48,0,,,,,,,
613,0.787934625,0,,,,,,,
614,0.793168525,0,,,,,,,
615,0.789879778,0,,,,,,,
616,0.807505384,0,,,,,,,
617,0.640375426,1,,,,,,,
618,0.482417567,0,,,,,,,
619,0.797539273,0,,,,,,,
620,0.796755521,1,,,,,,,
621,0.684057074,0,,,,,,,
622,0.797425163,0,,,,,,,
623,3.74E-07,0,,,,,,,
624,0.091849782,0,,,,,,,
625,0.792142062,1,,,,,,,
626,0.662003711,0,,,,,,,
627,0.79218354,1,,,,,,,
628,0.189560163,1,,,,,,,
629,0.294892654,1,,,,,,,
630,0.819389506,0,,,,,,,
631,0.814838743,0,,,,,,,
632,0.002824627,1,,,,,,,
633,0.810369667,1,,,,,,,
634,0.6116834,1,,,,,,,
635,0.812944062,0,,,,,,,
636,0.672626496,0,,,,,,,
637,0.575358863,1,,,,,,,
638,0.003892325,1,,,,,,,
639,0.797887665,0,,,,,,,
640,0.781747893,0,,,,,,,
641,0.811782568,1,,,,,,,
642,3.27E-11,0,,,,,,,
643,0.733271716,1,,,,,,,
644,0.812550475,0,,,,,,,
645,0.051939417,0,,,,,,,
646,0.817711454,1,,,,,,,
647,0.817899139,1,,,,,,,
648,0.42488552,0,,,,,,,
649,0.060445444,1,,,,,,,
650,0.561522883,1,,,,,,,
651,0.798235971,0,,,,,,,
652,0.810369667,1,,,,,,,
653,0.80999318,1,,,,,,,
654,0.788146954,0,,,,,,,
655,0.789150305,0,,,,,,,
656,0.768953675,1,,,,,,,
657,0.79375251,0,,,,,,,
658,0.815690758,0,,,,,,,
659,0.804507393,0,,,,,,,
660,0.002756345,0,,,,,,,
661,0.795574191,0,,,,,,,
662,0.285428983,0,,,,,,,
663,0.814838743,0,,,,,,,
664,0.405547,1,,,,,,,
665,0.810620151,0,,,,,,,
666,0.817432934,1,,,,,,,
667,0.82223478,1,,,,,,,
668,0.789879778,1,,,,,,,
669,0.796026652,0,,,,,,,
670,0.796710493,0,,,,,,,
671,5.14E-07,0,,,,,,,
672,0.708895737,1,,,,,,,
673,0.146745797,1,,,,,,,
674,0.797479547,0,,,,,,,
675,0.759811019,0,,,,,,,
676,0.815084671,0,,,,,,,
677,0.725772454,0,,,,,,,
678,0.817954419,1,,,,,,,
679,0.806765732,1,,,,,,,
680,0.608400918,1,,,,,,,
681,0.822587363,0,,,,,,,
682,0.812150267,0,,,,,,,
683,0.817433886,0,,,,,,,
684,0.810019034,1,,,,,,,
685,0.005063097,0,,,,,,,
686,0.802891902,1,,,,,,,
687,0.794350881,1,,,,,,,
688,0.805916029,0,,,,,,,
689,0.810620151,0,,,,,,,
690,0.811003903,1,,,,,,,
691,0.817949281,0,,,,,,,
692,0.014807701,0,,,,,,,
693,0.760979365,1,,,,,,,
694,0.812798744,1,,,,,,,
695,0.813821209,0,,,,,,,
696,0.765570615,0,,,,,,,
697,2.08E-05,0,,,,,,,
698,0.52488541,0,,,,,,,
699,0.775688669,0,,,,,,,
700,0.001144775,0,,,,,,,
701,0.815218826,0,,,,,,,
702,0.591657855,1,,,,,,,
703,0.663849646,1,,,,,,,
704,0.806765732,0,,,,,,,
705,0.001778363,0,,,,,,,
706,0.544742225,1,,,,,,,
707,0.791725371,0,,,,,,,
708,0.427481835,0,,,,,,,
709,0.000265156,0,,,,,,,
710,0.80526982,0,,,,,,,
711,0.672285832,0,,,,,,,
712,0.579970842,1,,,,,,,
713,0.818939588,1,,,,,,,
714,0.763128361,1,,,,,,,
715,0.013792646,0,,,,,,,
716,0.752000259,1,,,,,,,
717,0.199352664,1,,,,,,,
718,0.812798744,1,,,,,,,
719,0.607529781,0,,,,,,,
720,0.788343082,1,,,,,,,
721,0.782939066,0,,,,,,,
722,0.807795889,0,,,,,,,
723,0.290161924,0,,,,,,,
724,0.039286212,1,,,,,,,
725,0.787633842,1,,,,,,,
726,0.819501327,1,,,,,,,
727,0.806778816,1,,,,,,,
728,0.766904076,1,,,,,,,
729,0.669267763,1,,,,,,,
730,1.45E-08,0,,,,,,,
731,0.816474942,1,,,,,,,
732,0.506413143,1,,,,,,,
733,0.817899139,1,,,,,,,
734,0.001827704,0,,,,,,,
735,0.703914044,1,,,,,,,
736,0.811003903,0,,,,,,,
737,0.7875917,1,,,,,,,
738,0.810019034,0,,,,,,,
739,0.001415622,0,,,,,,,
740,0.10493656,1,,,,,,,
741,8.09E-08,1,,,,,,,
742,0.810380769,0,,,,,,,
743,0.002211102,0,,,,,,,
744,0.814202284,1,,,,,,,
745,0.629691182,0,,,,,,,
746,0.811538541,1,,,,,,,
747,0.706980394,1,,,,,,,
748,0.110645851,0,,,,,,,
749,0.821996285,0,,,,,,,
750,0.769553396,0,,,,,,,
751,0.13504457,1,,,,,,,
752,0.767016424,0,,,,,,,
753,0.812798744,1,,,,,,,
754,0.014909279,0,,,,,,,
755,0.816474942,0,,,,,,,
756,0.515417617,0,,,,,,,
757,0.803302325,1,,,,,,,
758,0.819550599,1,,,,,,,
759,0.814719982,1,,,,,,,
760,0.810380769,0,,,,,,,
761,0.075045825,0,,,,,,,
762,0.794520462,1,,,,,,,
763,0.5415026,1,,,,,,,
764,0.000437594,0,,,,,,,
765,0.035815954,1,,,,,,,
766,0.793717275,1,,,,,,,
767,0.534367977,1,,,,,,,
768,0.810620151,1,,,,,,,
769,0.81063782,0,,,,,,,
770,0.713139613,1,,,,,,,
771,0.797425163,0,,,,,,,
772,0.354124831,0,,,,,,,
773,0.470084575,1,,,,,,,
774,0.810753808,0,,,,,,,
775,0.764778776,0,,,,,,,
776,0.818939588,0,,,,,,,
777,0.661876598,0,,,,,,,
