churn,Prob
0,0.27720686733321975
1,0.5189155735826547
0,0.2733260470946672
1,0.3713355052007648
0,0.740779908347696
0,0.24472871150561715
0,0.5971549895369802
1,0.24181100231394367
0,0.3377758933796786
1,0.5301879261009405
1,0.5120807312968995
0,0.339423559033324
1,0.3298489666425451
0,0.26811384491293794
1,0.5032348724319138
1,0.39755652174782796
1,0.589610749952109
0,0.41949949681603993
1,0.4353850773554055
1,0.2864256824510486
0,0.24485185551341826
1,0.4330545314239071
0,0.35799551794739387
0,0.274706712530258
0,0.21412069531073433
1,0.30616909570550327
1,0.5167551347625495
1,0.6195352974534676
1,0.6049121443829228
1,0.28402025649314916
0,0.5578132625812892
0,0.43016503092408886
1,0.5965250351758561
0,0.26968279128580935
1,0.4250867633167121
0,0.5762204903925426
0,0.23609255807011037
0,0.2510488960629636
0,0.5411769064676427
0,0.24051965416093643
1,0.3569360904420806
0,0.3072161511368771
1,0.6407014810871722
0,0.4894491971214417
0,0.6066648530460811
1,0.5544472625067388
0,0.29436755684257027
1,0.6662144697645939
0,0.2944866482013755
0,0.35432489318810056
1,0.2683929887207494
1,0.5363397081652238
1,0.339423559033324
0,0.3392121143934791
0,0.592205457444152
0,0.5848522411619335
1,0.5122610582212811
0,0.6417858686178907
0,0.5167551347625495
1,0.740779908347696
0,0.3370270222059761
1,0.6085301916568887
0,0.26512411885531845
1,0.6544225570227322
0,0.2666254163945847
1,0.7229468097178585
1,0.3600269183428423
1,0.6430747029097418
1,0.3518385737357192
1,0.29071918430634197
1,0.30220595764634545
1,0.5905946869411888
1,0.6227346586158137
0,0.7264262949543365
0,0.6544225570227322
0,0.6051918524656631
1,0.7264262949543365
0,0.21343392572653255
0,0.26770980402601335
0,0.6109836546926108
0,0.7139202656095144
0,0.3412428774929217
1,0.32890484485756377
1,0.48777043857200963
1,0.6091446537390803
1,0.6097927178023328
0,0.29123999584457533
0,0.40580647819861115
0,0.2962153983173139
0,0.5434159651845363
0,0.511420909132673
0,0.29090297875304255
0,0.7139202656095144
0,0.23888459883686564
0,0.2955511871718662
1,0.5614577541236753
0,0.2691375775716704
1,0.41288600551248467
0,0.32141120478955354
0,0.22709614065366973
0,0.5536671357203324
0,0.5532187817581665
1,0.6876130561159427
0,0.7264262949543365
0,0.604547734649552
1,0.6227344760610561
1,0.5613742482583449
0,0.6662144697645939
0,0.3218791960579079
0,0.3505872123595565
0,0.6085301916568887
0,0.27215440915305056
1,0.4164514848688056
1,0.6450433435583335
1,0.5260269965102381
0,0.21978851790787476
0,0.2212189316192722
0,0.6259419707469334
1,0.5289181525226754
